id,passenger_id,flight_id,fare_class
1,222,108,0
2,61,19,0
3,129,296,0
4,685,306,0
5,156,171,2
6,378,331,0
7,622,195,1
8,781,12,0
9,868,195,2
10,790,283,0
11,586,369,1
12,437,182,0
13,207,305,1
14,388,144,0
15,480,386,0
16,791,316,2
17,887,182,2
18,838,30,2
19,340,84,1
20,869,166,1
21,340,284,0
22,204,281,0
23,161,96,0
24,540,381,1
25,392,266,0
26,769,298,0
27,677,296,1
28,575,225,1
29,534,333,0
30,70,361,0
31,893,374,0
32,405,42,0
33,608,303,0
34,675,246,1
35,591,208,1
36,517,237,1
37,828,22,0
38,120,185,1
39,814,242,0
40,690,363,0
41,688,283,1
42,217,41,0
43,56,336,0
44,366,162,2
45,699,160,0
46,504,89,1
47,744,322,0
48,767,12,1
49,455,73,0
50,104,76,0
51,77,346,1
52,230,201,0
53,258,10,0
54,264,352,0
55,331,226,0
56,182,176,0
57,893,276,0
58,768,39,2
59,550,60,0
60,688,66,0
61,27,321,0
62,276,124,0
63,652,164,2
64,299,386,0
65,799,159,2
66,91,57,0
67,480,78,1
68,573,194,0
69,458,285,2
70,451,15,1
71,365,12,0
72,859,101,0
73,675,156,0
74,351,340,2
75,655,125,0
76,400,359,0
77,253,280,1
78,781,394,0
79,881,110,2
80,803,334,1
81,459,357,1
82,699,146,2
83,499,216,0
84,508,398,0
85,304,162,0
86,501,128,0
87,803,314,1
88,598,332,2
89,166,150,0
90,415,36,0
91,462,173,2
92,114,22,0
93,433,206,0
94,356,127,0
95,695,336,2
96,207,356,1
97,768,217,1
98,235,96,1
99,442,164,0
100,355,148,0
101,515,18,1
102,208,294,0
103,709,195,1
104,853,151,2
105,125,365,1
106,138,123,1
107,339,400,1
108,537,187,1
109,68,149,0
110,573,104,0
111,541,243,0
112,383,231,1
113,19,206,0
114,683,198,1
115,450,396,0
116,74,400,1
117,573,337,0
118,665,87,1
119,276,142,0
120,48,317,0
121,211,199,0
122,855,46,1
123,651,288,0
124,622,15,0
125,695,44,2
126,540,169,1
127,709,310,2
128,191,44,0
129,315,98,0
130,563,261,2
131,661,109,0
132,780,283,1
133,562,372,0
134,900,343,0
135,758,104,0
136,113,256,0
137,170,379,0
138,468,206,0
139,678,335,2
140,14,43,0
141,715,353,1
142,288,245,1
143,189,287,1
144,155,355,0
145,567,273,1
146,694,83,1
147,722,110,1
148,888,190,1
149,471,288,2
150,75,397,1
151,277,251,0
152,645,212,1
153,343,291,0
154,425,133,2
155,571,201,0
156,511,285,0
157,857,326,1
158,182,95,1
159,458,278,0
