id,ticket_id,passenger_id,bag_count,bag_weight,is_priority,oversize_flag
1,710,2296,1,15.59,1,0
2,5447,2420,2,13.23,1,0
3,3673,2536,2,13.89,0,0
4,4817,2880,1,9.32,0,0
5,4376,489,1,8.52,1,0
6,1898,3245,1,18.71,1,0
7,3628,3031,2,16.44,0,0
8,3357,3831,1,13.46,0,0
9,4417,1009,2,19.04,0,0
10,2168,128,1,12.67,1,0
11,260,1014,1,14.61,0,0
12,4718,1917,1,15.1,0,0
13,3374,3197,1,16.15,1,0
14,2077,2630,1,24.05,0,0
15,3934,487,2,14.83,0,0
16,2178,1067,3,21.42,0,0
17,768,2029,1,18.1,0,0
18,531,127,3,20.51,0,0
19,1147,3841,1,17.14,0,0
20,2274,530,1,16.23,0,0
21,1794,2216,1,10.88,0,0
22,2947,1319,1,12.94,1,0
23,4609,1335,3,23.95,1,0
24,5241,2376,2,17.63,0,0
25,4720,187,2,10.7,0,0
26,5266,3042,2,17.56,0,0
27,1554,953,1,13.21,0,0
28,2973,1892,1,19.26,0,0
29,1408,3003,1,14.4,0,0
30,2109,1120,1,12.91,1,0
31,1534,2681,1,10.95,0,0
32,2063,796,1,10.5,0,0
33,1570,1838,1,14.79,0,0
34,531,127,3,12.21,1,0
35,5067,4192,2,16.9,1,0
36,1699,3816,1,14.07,1,0
37,2841,3698,2,11.51,0,0
38,5068,1799,1,13.97,1,0
39,2573,3274,1,9.08,0,0
40,2321,65,1,14.85,1,0
41,354,3332,1,7.24,0,0
42,2864,1745,1,10.72,1,0
43,4121,3951,2,10.78,0,0
44,653,3684,2,15.35,0,0
45,2273,1692,2,12.3,0,0
46,4686,2242,2,18.34,0,0
47,2495,3527,1,16.38,0,0
48,4473,3452,2,16.69,1,0
49,3108,630,1,18.07,0,0
50,5014,2882,2,20.91,0,0
51,3384,448,1,11.77,1,0
52,1589,4015,2,19.7,0,0
53,1164,791,1,14.96,0,0
54,278,708,1,19.78,1,0
55,3693,2079,1,15.25,0,0
56,1292,1556,1,13.7,0,0
57,1833,2511,1,18.24,1,0
58,2040,1055,1,13.82,0,0
59,3580,2363,3,15.03,0,0
60,366,1961,1,19.99,0,0
61,1350,2755,1,12.43,0,0
62,4342,1278,2,15.6,0,0
63,1173,3365,1,10.86,0,0
64,1167,739,1,11.17,0,0
65,1616,2557,2,15.02,0,0
66,3006,2185,2,15.81,1,0
67,1,2151,1,11.12,0,0
68,2783,2094,1,10.7,1,0
69,3071,2130,1,15.06,0,0
70,2657,3042,2,16.87,0,0
71,1559,3563,2,18.66,0,0
72,3246,1225,1,15.27,0,0
73,1531,3867,1,17.23,0,0
74,2204,3635,1,16.51,0,0
75,4604,823,2,11.11,1,0
76,3657,2876,2,10.47,1,0
77,907,2174,1,13.87,1,0
78,4168,253,1,17.41,0,0
79,586,991,3,14.93,0,0
80,2432,442,2,15.94,0,0
81,4774,1411,2,19.77,0,0
82,4177,3350,2,21.04,0,0
83,4991,2501,1,15.95,0,0
84,1979,1165,1,9.97,0,0
85,1453,3618,1,7.4,0,0
86,1324,2220,2,13.55,0,0
87,1425,1378,1,8.74,0,0
88,4093,2074,1,18.14,0,0
89,860,1663,3,14.31,0,0
90,761,3487,1,11.05,0,0
91,236,1743,1,14.74,0,0
92,1817,2470,1,13.54,0,0
93,2288,1877,1,4.15,0,0
94,3722,3198,1,12.71,0,0
95,4395,351,1,19.23,1,0
96,3908,3760,1,17.04,0,0
97,2300,3608,1,13.22,0,0
98,4884,3896,1,19.67,1,0
99,5011,987,1,9.3,0,0
100,5480,3424,2,16.29,0,0
101,1024,986,2,23.32,0,0
102,3840,375,1,13.77,1,0
103,967,2771,2,18.02,0,0
104,5081,1407,2,13.55,0,0
105,624,386,2,12.62,0,0
106,4160,1148,1,15.0,1,0
107,323,1630,2,16.28,1,0
108,4461,3251,1,7.66,1,0
109,5189,465,1,15.46,0,0
110,3641,1476,1,14.17,0,0
111,4164,1208,1,13.64,0,0
112,912,3526,1,16.36,0,0
113,3806,3662,1,18.74,0,0
114,4032,573,1,21.36,0,0
115,3585,3517,1,13.75,1,0
116,2246,1239,1,12.79,1,0
117,5493,790,2,14.77,1,0
118,3693,2079,1,13.48,0,0
119,457,538,2,14.09,1,0
120,175,1857,2,18.35,0,0
121,1170,3720,1,15.19,0,0
122,631,2735,2,10.94,1,0
123,1881,3055,2,10.55,0,0
124,1874,3462,1,10.01,0,0
125,3607,3586,1,14.03,0,0
126,305,1075,2,16.31,1,0
127,5027,2723,1,20.64,0,0
128,3902,373,2,5.39,1,0
129,27,1012,1,9.32,0,0
130,4393,3618,1,7.51,0,0
131,5138,730,1,17.24,0,0
132,3585,3517,1,11.22,0,0
133,5088,217,3,15.83,1,0
134,1147,3841,2,17.88,0,0
135,2718,3058,1,14.63,0,0
136,3134,3032,2,13.64,0,0
137,298,2897,1,16.56,1,0
138,2140,3731,1,14.82,1,0
139,2409,3086,1,12.49,1,0
140,1576,107,2,12.06,0,0
141,3655,2361,2,12.36,0,0
142,1498,3280,2,10.94,1,0
143,728,1520,1,18.18,0,0
144,4162,2690,1,10.43,0,0
145,4992,584,1,10.32,1,0
146,5361,3218,1,7.01,0,0
147,4764,808,2,17.53,0,0
148,1135,1492,3,22.48,0,0
149,5596,1694,2,13.52,0,0
150,3365,3116,1,11.7,0,0
151,466,3819,1,11.53,1,0
152,689,2110,1,14.43,0,0
153,21,962,2,14.47,0,0
154,4259,3887,1,15.48,1,0
155,1391,139,2,15.11,1,0
156,805,1675,1,18.89,0,0
157,5493,790,1,14.79,0,0
158,2141,922,1,13.9,0,0
159,3378,1735,3,13.02,0,0
160,1817,2470,1,14.98,0,0
161,1991,790,1,13.25,0,0
162,3636,3358,1,12.52,1,0
163,861,3362,1,9.72,0,0
164,4128,2141,1,10.31,0,0
165,4702,446,2,10.53,0,0
166,1073,1135,1,7.86,0,0
167,2706,1418,2,13.89,0,0
168,528,149,2,11.78,0,0
169,3318,1154,2,13.69,0,0
170,1460,2118,1,9.94,0,0
171,5459,1132,1,15.6,1,0
172,258,2917,2,13.73,1,0
173,1069,2964,1,14.16,0,0
174,3357,3831,2,14.2,1,0
175,2276,864,1,10.97,0,0
176,4783,3044,1,19.55,1,0
177,4582,258,2,12.74,0,0
178,2998,1428,1,12.28,0,0
179,5573,537,3,14.48,0,0
180,819,2772,1,14.65,0,0
181,3159,1278,2,17.66,1,0
182,3555,3415,1,9.16,0,0
183,2099,520,1,20.98,0,0
184,2228,2607,1,13.5,0,0
185,4660,304,2,15.95,0,0
186,5239,1014,1,17.68,0,0
187,3730,2167,3,23.63,0,0
188,2467,1066,1,11.3,0,0
189,164,2001,1,12.86,0,0
190,5075,635,1,14.95,1,0
191,898,2410,2,12.72,0,0
192,63,3895,1,19.61,0,0
193,5358,7,1,18.1,1,0
194,2409,3086,1,10.13,0,0
195,4044,2167,2,11.32,0,0
196,856,3788,3,21.31,1,0
197,2485,856,1,16.47,0,0
198,3913,977,1,11.48,1,0
199,2096,1588,1,15.14,1,0
200,3942,3363,1,14.91,0,0
201,4796,1045,2,7.24,1,0
202,3751,2625,2,17.52,1,0
203,266,469,1,10.31,0,0
204,2870,3723,1,13.49,0,0
205,1269,2923,1,17.24,0,0
206,5394,3217,3,10.66,0,0
207,3052,96,2,22.15,0,0
208,2318,3800,2,4.67,1,0
209,2313,3047,1,4.73,1,0
210,3657,2876,3,16.06,0,0
211,1311,1187,1,12.15,0,0
212,5360,3486,1,13.69,0,0
213,4910,1380,2,14.49,1,0
214,5387,243,1,10.59,0,0
215,1593,333,1,12.0,0,0
216,1910,1374,1,12.93,0,0
217,2317,1995,1,18.82,1,0
218,4270,4180,1,10.38,0,0
219,917,1651,2,19.52,0,0
220,3310,1122,2,10.65,0,0
221,3912,3273,1,10.59,1,0
222,4729,1247,2,23.22,1,0
223,161,332,2,15.22,0,0
224,3852,4200,2,13.05,1,0
225,5406,1685,1,9.74,0,0
226,4616,451,3,12.19,0,0
227,4581,324,1,18.92,0,0
228,1209,1138,1,11.31,0,0
229,806,2819,2,17.92,0,0
230,4773,3421,2,17.01,0,0
