id,ticket_id,claim_type,claim_amount,resolved_days,fraud_flag
1,959,2,134.82,4,0
2,129,0,319.94,8,0
3,2384,2,360.11,10,0
4,365,3,255.7,2,0
5,4671,1,43.47,3,0
6,2543,1,114.58,7,0
7,4083,1,72.6,11,0
8,905,2,149.82,15,0
9,5247,2,56.79,11,0
10,1188,0,56.92,10,1
11,1550,1,134.61,7,0
12,146,1,85.29,13,0
13,307,0,75.63,9,0
14,3589,0,83.19,4,0
15,3602,0,115.29,4,0
16,5287,2,96.37,11,0
17,5280,3,62.6,11,0
18,4293,0,77.86,6,0
19,2605,2,205.85,1,0
20,793,0,86.79,6,0
21,1481,0,268.47,7,0
22,1157,2,67.23,8,0
23,1332,0,356.46,5,0
24,3108,2,70.67,3,0
25,2521,0,168.69,11,0
26,1863,1,146.99,6,0
27,512,3,419.39,12,0
28,1100,3,406.76,7,0
29,4077,2,166.28,6,0
30,3778,1,312.87,6,0
31,4098,2,311.12,13,0
32,905,2,76.25,6,1
33,1814,0,68.41,7,0
34,1047,2,150.5,9,0
35,236,1,128.86,7,0
36,1664,0,125.54,9,0
37,1565,1,277.92,10,0
38,244,2,366.24,8,0
39,2001,0,96.14,2,0
40,5181,0,36.5,13,0
41,4352,0,64.12,6,0
42,2380,0,64.21,5,0
43,4587,2,30.0,4,0
44,643,2,194.82,4,0
45,3273,1,259.14,9,0
46,3443,0,45.32,3,0
47,5247,0,174.87,9,0
48,341,2,256.08,4,0
49,4511,2,34.56,6,0
50,4128,2,101.88,11,0
51,599,1,30.0,8,0
52,3115,0,1412.69,6,0
53,843,0,201.1,4,0
54,3241,0,74.56,11,0
55,3285,0,251.3,3,1
56,3706,0,41.6,2,0
57,2748,0,53.1,6,0
58,1293,0,55.17,10,0
59,1768,2,164.73,9,0
60,1987,0,30.0,5,0
61,1170,0,137.34,5,0
62,673,0,368.63,12,0
63,2595,0,146.38,3,0
64,4912,0,89.2,11,0
65,1683,1,267.75,5,0
66,3229,0,268.79,9,0
67,1093,0,184.63,8,0
68,4261,0,144.63,5,0
69,5119,0,423.47,3,0
70,4159,0,90.79,4,0
71,1030,0,227.76,3,0
72,4092,0,156.01,2,0
73,4580,0,354.64,8,1
74,2593,2,106.4,12,0
75,265,1,258.31,6,0
76,4448,0,39.86,3,0
77,5337,0,243.02,6,0
78,4885,1,235.79,8,1
79,2993,0,59.62,9,0
80,4632,0,108.06,2,0
81,3319,3,135.86,7,0
82,5315,0,106.51,7,0
83,9,2,378.46,9,0
84,3580,1,504.64,1,0
85,4660,1,36.13,6,0
86,2096,1,58.73,5,0
87,2298,0,130.43,5,1
88,682,0,68.57,10,0
89,486,0,63.59,4,0
90,1411,1,202.35,7,0
91,3090,0,52.9,5,0
92,854,1,117.01,1,0
93,4083,0,70.14,11,0
94,4736,0,104.89,7,0
95,3608,3,53.0,18,0
96,1907,0,91.59,7,0
97,87,1,340.33,6,0
98,5112,3,200.88,8,0
99,328,1,30.0,10,0
