id,origin_airport_id,destination_airport_id,distance,departure_hour,airline_code,is_delayed
1,15,11,3038.0,6,1,1
2,6,2,1100.2,13,1,1
3,3,17,730.4,9,1,0
4,16,12,1301.4,6,3,1
5,6,2,664.3,4,1,0
6,7,8,1365.0,14,3,0
7,10,7,1223.3,7,5,0
8,3,14,1818.8,16,5,1
9,6,5,881.1,5,1,0
10,13,2,452.8,17,2,0
11,15,3,640.5,10,0,1
12,10,3,1332.0,18,1,1
13,13,16,1500.8,18,2,1
14,13,4,504.0,7,2,0
15,15,16,1299.0,13,2,1
16,14,8,578.6,6,3,0
17,3,11,3069.9,5,0,1
18,17,5,749.3,4,1,0
19,14,4,641.3,8,3,1
20,9,11,1433.6,12,0,1
21,18,4,324.2,23,3,0
22,18,1,558.4,9,0,0
23,9,7,1320.9,13,2,0
24,2,10,4443.9,17,5,1
25,13,18,551.4,18,1,1
26,8,12,3665.7,17,1,1
27,4,13,464.4,16,0,0
28,18,17,496.3,14,0,0
29,14,17,400.6,12,1,0
30,17,18,459.5,13,0,1
31,10,13,1767.3,14,2,1
32,1,3,1214.5,18,5,1
33,18,3,592.5,8,1,0
34,9,16,619.7,6,3,1
35,5,12,3459.2,16,1,1
36,16,17,563.6,21,4,1
37,7,15,1561.5,11,0,1
38,11,3,403.3,5,2,0
39,15,3,663.2,15,1,0
40,7,4,3341.2,13,0,1
41,1,7,654.6,4,0,1
42,18,13,457.0,16,4,0
43,11,2,1703.1,9,0,1
44,5,12,351.2,15,0,1
45,8,7,1356.9,19,0,1
46,15,12,1613.5,11,1,0
47,3,14,1608.2,13,1,1
48,13,7,537.1,13,3,1
49,10,6,1637.2,21,1,0
50,4,7,516.3,9,5,1
51,10,8,1547.6,18,4,0
52,14,3,638.1,8,1,1
53,13,5,633.9,14,2,0
54,16,6,594.1,6,4,1
55,3,15,1228.3,21,0,1
56,11,3,1666.4,11,3,1
57,1,16,809.4,18,4,1
58,6,12,1507.5,7,4,1
59,16,18,533.4,11,0,0
60,10,8,3758.9,7,2,1
61,4,12,1307.5,20,1,0
62,9,1,1028.0,7,2,0
63,12,7,649.5,7,2,0
64,8,7,770.4,17,1,0
65,1,6,736.2,4,1,0
66,2,16,1504.6,23,1,1
67,15,4,567.5,23,0,0
68,9,12,1675.4,9,4,0
69,15,11,502.8,13,4,0
70,10,5,727.8,13,0,0
71,12,2,540.0,12,0,0
72,10,17,1433.8,6,0,0
73,18,1,521.3,6,2,0
74,5,11,386.2,6,1,0
75,15,17,3352.7,18,0,1
76,1,6,1169.3,7,0,1
77,5,1,704.5,3,3,0
78,2,3,1385.4,17,0,0
79,7,12,1395.8,12,5,0
80,8,15,530.6,9,3,0
81,16,5,833.8,16,3,1
82,8,1,384.0,16,4,1
83,18,9,3952.1,19,2,1
84,4,13,517.9,14,1,1
85,4,16,629.3,7,0,0
86,14,15,1474.1,9,0,0
87,10,5,1577.6,7,4,0
88,10,13,594.1,6,4,0
89,2,5,611.5,13,0,0
90,5,12,3548.0,19,5,1
91,8,6,1299.8,5,0,1
92,11,14,656.6,9,1,1
93,13,14,646.4,11,1,0
94,2,16,1237.8,8,0,1
95,9,17,678.7,9,0,1
96,2,13,741.2,18,3,1
97,13,7,400.1,15,1,0
98,13,3,1257.6,19,2,1
99,12,4,1378.0,15,0,0
100,5,18,1656.6,9,5,0
101,2,9,548.7,8,5,1
102,2,7,1624.8,4,1,0
103,15,2,282.1,23,1,1
104,15,1,448.2,17,1,0
105,17,13,1543.7,13,2,1
106,5,13,1468.6,14,2,1
107,2,17,3928.5,18,3,1
108,12,11,3034.6,6,3,1
109,3,11,1525.3,15,0,1
110,1,7,668.7,15,1,0
111,10,14,1411.7,7,2,1
112,4,2,1464.9,18,3,0
113,13,17,1126.9,19,0,1
114,4,10,553.8,8,3,0
115,18,15,527.5,15,2,0
116,2,5,570.4,9,1,0
117,4,1,1342.0,14,4,1
118,15,12,548.2,8,1,0
119,3,16,364.5,8,0,0
120,14,17,1506.6,17,1,0
121,13,10,1794.4,10,1,0
122,4,18,1663.1,11,0,0
123,12,3,1660.5,18,2,1
124,13,2,1202.5,3,5,1
125,6,4,3681.1,18,3,1
126,8,18,3743.5,4,0,1
127,6,5,1609.5,1,4,1
128,12,14,593.4,15,0,0
129,5,8,784.7,13,1,1
130,17,4,1585.1,18,1,1
131,14,16,590.1,16,0,0
132,15,4,1512.8,7,4,0
133,11,15,492.1,7,4,1
134,13,5,591.5,2,2,0
135,16,3,1253.1,12,5,0
136,12,16,793.2,8,4,1
137,9,13,739.7,8,4,0
138,9,8,563.6,12,1,0
139,18,1,540.4,5,0,1
140,18,7,510.0,13,0,0
141,15,3,1395.4,22,5,0
142,17,8,309.9,3,2,0
143,9,7,1506.2,20,4,1
144,11,5,1347.7,10,2,0
145,14,10,554.2,10,1,1
146,9,1,558.6,21,1,0
147,6,7,2215.0,12,4,1
148,8,9,622.0,11,3,1
149,8,14,755.6,19,4,0
150,5,18,600.0,17,1,0
151,6,4,578.1,16,1,0
152,7,18,576.3,6,2,0
153,1,2,1537.6,0,3,0
154,3,14,4012.5,11,4,1
155,16,13,1637.7,6,4,0
156,12,13,1432.0,12,0,1
157,3,5,635.0,20,0,1
158,13,14,1457.6,22,2,1
159,14,6,1376.2,7,3,0
160,4,17,176.4,21,0,0
161,16,9,1428.2,9,2,1
162,13,14,2874.1,15,0,1
163,13,11,713.4,14,3,0
164,16,4,747.5,10,1,0
165,3,11,1442.7,19,1,1
166,1,16,1083.1,8,2,1
167,10,2,435.4,12,1,0
168,11,17,1491.4,11,4,1
169,8,17,1967.1,15,3,1
170,6,7,1205.5,12,4,0
171,8,17,1139.5,2,2,1
172,10,4,2001.3,8,0,1
173,7,11,2496.4,10,0,1
174,6,12,1446.4,13,2,1
175,15,14,385.9,6,0,0
176,4,9,309.3,9,0,1
177,11,4,679.8,5,2,0
178,18,2,430.0,11,3,0
179,1,18,421.8,18,3,0
180,1,14,1801.1,10,3,1
181,16,7,3513.8,19,0,1
182,11,6,1672.3,9,3,0
183,11,14,415.3,20,1,1
184,2,17,820.5,21,5,0
185,17,3,1176.7,12,4,0
186,17,9,1552.2,11,1,1
187,6,13,1296.6,18,0,1
188,8,2,2747.4,6,4,1
189,2,3,421.1,4,0,0
190,4,5,2251.1,12,4,0
191,6,7,955.9,10,2,1
192,10,18,2929.7,8,1,1
193,11,14,1597.4,14,2,1
194,8,6,1540.5,15,2,1
195,13,16,727.6,15,1,1
196,5,4,1167.9,7,1,1
197,10,18,605.0,19,4,1
198,3,14,605.5,12,2,0
199,12,17,654.9,18,3,0
200,5,16,1605.7,19,4,1
201,1,6,3279.8,16,5,1
202,13,2,693.2,12,1,1
203,11,12,741.3,12,2,1
204,18,11,1551.3,22,1,0
205,4,10,337.5,8,4,1
206,1,9,1448.9,20,2,1
207,4,9,1106.5,15,0,0
208,1,5,1357.4,17,3,0
209,17,9,1647.8,4,2,0
210,16,9,508.4,14,4,0
211,3,4,2987.5,1,3,1
212,14,5,693.0,11,0,1
213,14,15,1202.8,17,3,1
214,10,17,1660.2,20,2,1
215,17,7,543.0,2,5,0
216,12,15,2895.8,8,2,0
217,4,8,3409.6,16,1,1
218,1,12,1604.7,16,1,1
219,17,1,359.4,4,1,1
220,4,7,350.0,19,5,1
221,16,6,3490.0,8,2,1
222,10,3,632.4,7,0,1
223,13,2,1834.9,18,2,1
224,8,12,131.5,11,5,0
225,5,15,3154.4,9,1,1
226,11,2,435.2,3,5,1
227,13,6,738.0,19,1,0
228,16,5,1079.7,16,0,1
229,1,13,1377.4,16,0,1
230,16,13,634.3,12,0,1
231,7,16,597.7,23,2,0
232,14,16,305.5,13,2,1
233,10,7,509.8,12,3,0
234,15,17,965.2,11,4,0
235,11,7,3136.1,15,4,1
236,12,11,610.3,3,2,1
237,3,5,1902.9,3,5,0
238,10,16,690.3,6,0,0
239,14,9,650.9,7,4,0
240,4,14,1451.6,8,5,1
241,6,2,1461.5,2,0,1
242,6,11,1210.8,19,0,0
243,8,17,1459.2,9,1,1
244,8,5,1568.3,10,2,1
245,8,1,1151.8,19,1,1
246,2,6,1740.6,8,1,1
247,18,3,1372.9,7,0,0
248,9,10,3202.2,21,0,1
249,16,9,358.4,19,3,0
250,7,2,1115.5,9,5,0
251,4,11,664.4,6,1,1
252,12,2,541.4,10,0,0
253,14,11,545.2,9,0,0
254,14,11,1234.5,13,0,0
255,3,4,3699.5,9,2,1
256,5,17,444.8,2,0,0
257,16,10,1232.6,9,0,1
258,14,16,1535.6,23,5,0
259,17,13,3288.2,17,1,1
260,18,17,903.5,12,0,1
261,10,4,1500.4,7,0,1
262,18,11,555.2,10,0,0
263,11,2,323.3,23,4,1
264,4,3,1486.8,8,2,1
265,7,12,1293.7,4,1,1
266,18,16,440.6,11,4,0
267,7,6,486.0,6,2,0
268,3,4,441.4,19,3,0
269,17,5,1660.0,21,4,1
270,15,14,3279.0,5,1,1
271,18,16,1179.0,6,2,0
272,2,17,367.7,7,4,0
273,6,7,1691.7,19,3,1
274,12,2,209.2,6,2,1
275,1,7,4205.1,13,1,1
276,12,3,858.3,7,5,0
277,18,10,469.1,7,0,1
278,7,11,1477.9,21,0,1
279,9,10,1479.7,18,5,0
280,18,8,1345.3,4,1,1
281,12,14,1184.4,8,2,1
282,6,4,3080.2,5,2,1
283,10,12,1080.9,17,3,0
284,7,3,766.3,1,2,0
285,13,1,3562.4,6,3,1
286,1,18,1047.3,8,4,1
287,18,9,2968.7,16,0,1
288,6,16,1608.9,17,1,1
289,11,15,339.3,20,3,0
290,5,6,593.4,3,1,1
291,18,1,454.0,17,0,0
292,2,9,1027.6,14,3,1
293,11,18,480.8,16,0,0
294,15,8,3270.5,17,0,0
295,2,14,793.9,20,1,0
296,3,18,446.5,19,2,0
297,5,15,490.9,21,1,0
298,5,6,3538.8,17,0,1
299,1,7,612.2,16,1,0
300,18,9,1649.8,14,2,1
301,13,5,679.6,5,1,0
302,9,18,662.4,5,4,0
303,7,15,1546.1,18,5,1
304,18,11,1492.2,18,1,0
305,11,9,456.7,8,4,0
306,2,1,3234.5,10,1,1
307,3,4,1057.2,15,2,0
308,9,16,728.3,16,0,0
309,10,11,1269.9,23,5,1
310,9,14,775.9,11,0,1
311,1,17,3737.6,13,4,1
312,3,16,508.3,10,3,1
313,2,17,3293.4,16,0,1
314,2,3,1610.0,6,1,1
315,15,6,1633.5,9,1,0
316,18,1,575.0,8,3,0
317,10,12,667.5,6,0,1
318,16,13,1473.0,17,0,1
319,11,5,2079.7,11,4,0
320,4,8,1546.1,8,1,1
321,9,11,1277.7,9,1,0
322,8,17,662.2,20,3,0
323,10,11,1584.1,7,2,0
324,9,5,623.2,5,3,0
325,3,7,290.6,18,1,1
326,10,11,476.2,10,0,0
327,3,5,685.2,7,0,0
328,13,14,1233.3,20,0,0
329,7,13,1189.9,23,1,1
330,16,8,480.7,16,3,1
331,17,13,150.5,16,2,1
332,15,7,639.6,18,4,1
333,4,1,1498.1,23,2,1
334,10,18,599.0,22,3,0
335,14,4,709.5,7,0,1
336,17,3,1670.3,18,0,1
337,2,8,540.8,13,5,0
338,6,14,3281.4,13,0,1
339,3,7,1449.7,17,3,0
340,5,1,3648.9,17,4,1
341,1,8,1574.0,15,5,1
342,13,8,1446.1,11,5,1
343,2,14,401.4,19,5,1
344,11,12,2816.9,14,4,1
345,17,4,1380.8,22,0,1
346,3,7,408.5,12,0,0
347,3,15,1345.7,16,4,1
348,15,8,1408.1,15,4,1
349,5,18,932.8,5,3,1
350,5,16,2714.2,13,3,0
351,16,2,646.1,23,2,1
352,4,13,617.3,15,0,0
353,4,6,1765.2,7,0,1
354,12,2,543.7,10,5,1
355,11,12,803.1,15,4,0
356,18,4,1203.5,19,0,1
357,3,6,671.8,6,3,0
358,3,8,444.8,14,4,0
359,9,11,409.4,21,1,0
360,12,4,2630.5,18,3,1
361,10,13,2969.8,7,0,1
362,4,18,1296.1,10,1,0
363,11,9,1412.5,15,5,1
364,18,5,1352.6,9,3,0
365,15,6,1286.4,20,1,0
366,5,9,721.8,14,1,0
367,8,18,344.0,10,0,0
368,12,15,758.1,9,2,1
369,18,1,302.3,17,5,1
370,1,13,1183.0,12,3,0
371,5,6,331.6,9,3,0
372,6,11,498.8,10,1,0
373,5,6,1316.7,14,3,0
374,14,9,571.4,7,3,1
375,7,8,3281.0,11,4,1
376,3,4,276.9,17,5,0
377,7,10,1693.5,21,3,0
378,8,4,1566.8,4,0,0
379,14,1,1505.8,16,0,0
380,4,12,564.5,10,1,0
381,12,13,1379.1,19,5,0
382,9,13,557.0,11,3,0
383,13,8,3428.0,16,2,0
384,17,7,3463.2,22,1,1
385,4,1,513.7,14,2,0
386,17,4,1623.7,12,5,1
387,2,10,494.4,2,1,1
388,15,1,2246.3,16,1,0
389,15,6,655.7,16,1,1
390,4,16,421.1,23,1,0
391,5,16,1621.1,7,0,1
392,14,4,514.3,20,4,0
393,4,10,470.9,13,4,0
394,2,1,3540.3,7,5,1
395,11,18,590.2,18,0,1
396,13,10,1515.1,6,1,1
397,11,12,1332.4,3,1,1
398,5,2,1153.7,9,5,0
399,10,11,3930.1,17,2,1
400,15,9,608.4,5,3,0
401,17,16,611.0,19,0,0
402,14,12,3928.4,6,2,1
403,17,8,922.3,14,0,0
404,15,5,702.4,5,5,1
405,2,3,1478.2,22,1,0
406,1,13,669.3,11,5,1
407,11,14,440.4,16,0,0
408,6,13,631.0,18,0,0
409,17,18,3185.9,8,3,1
410,18,6,3631.0,13,0,1
411,10,11,1201.5,10,2,1
412,15,12,1590.6,6,1,1
413,4,1,1243.4,14,4,1
414,18,3,1264.1,16,5,1
415,3,6,966.0,15,3,1
416,5,7,1362.5,15,3,0
417,16,1,644.2,16,1,0
418,13,11,455.5,12,0,0
419,14,8,1199.7,6,2,0
420,6,14,745.9,7,0,0
421,16,9,1486.3,21,2,1
422,16,6,618.3,16,2,0
423,5,1,1985.0,15,1,1
424,11,8,535.0,15,3,0
425,11,2,3227.7,4,0,1
426,15,16,400.4,11,1,1
427,12,2,271.7,8,0,1
428,8,4,3079.3,7,5,0
429,14,7,2303.0,9,3,1
430,7,12,3225.8,10,3,1
431,10,14,3284.6,10,3,1
432,16,3,1381.1,19,4,0
433,6,13,548.9,16,0,0
434,17,9,529.6,14,3,1
435,18,8,675.4,18,1,0
436,8,7,498.0,19,4,0
437,11,15,376.8,7,3,0
438,17,18,544.3,14,1,1
439,17,5,844.4,13,3,0
440,5,10,3030.1,8,2,1
441,14,15,3470.4,4,0,1
442,1,15,529.8,1,0,1
443,6,9,552.1,16,1,0
444,18,3,1177.4,13,4,1
445,17,18,488.9,17,0,0
446,17,10,935.4,11,3,0
447,13,11,448.1,5,3,0
448,8,2,2011.1,14,4,0
449,7,2,532.4,14,2,0
450,18,15,497.2,16,3,0
451,14,15,462.1,14,0,0
452,1,3,3617.2,6,2,1
453,9,18,550.9,15,1,1
454,13,9,228.0,14,4,0
455,1,16,2860.9,10,3,1
456,1,14,1438.8,14,2,1
457,4,5,1350.1,20,1,0
458,18,9,3343.8,9,4,1
459,11,12,3149.5,21,4,1
460,7,6,624.3,13,4,0
461,12,4,1817.4,13,3,1
462,17,14,1367.1,18,1,0
463,13,18,1695.3,8,0,0
464,4,9,543.0,7,3,0
465,10,14,1802.2,12,1,1
466,8,10,1466.7,5,4,1
467,16,10,643.7,9,0,1
468,1,15,1485.2,11,2,0
469,2,11,846.6,23,0,1
470,4,3,592.0,19,2,0
471,4,5,1483.8,6,1,1
472,5,3,1811.9,13,4,1
473,18,1,3886.0,12,1,1
474,6,18,1742.6,15,4,1
475,13,6,688.5,6,1,1
476,13,18,344.2,14,3,0
477,13,9,3079.8,21,3,0
478,10,16,1413.0,18,0,1
479,1,7,1605.7,15,0,1
480,15,11,395.4,9,1,0
481,7,4,708.9,20,0,0
482,10,2,3931.5,6,3,1
483,2,3,1581.9,13,1,1
484,2,4,952.0,13,0,0
485,9,11,3175.9,13,0,1
486,3,9,1549.9,23,0,1
487,10,1,421.5,8,0,0
488,11,12,555.3,7,0,0
489,7,8,554.3,17,5,1
490,7,8,276.7,6,3,1
