id,flight_id,age,annual_income,group_size,loyalty_tier
1,626,35,37672.0,2,3
2,416,85,38309.0,1,0
3,181,67,51286.0,2,1
4,150,24,35855.0,1,0
5,999,45,60997.0,2,2
6,134,35,74629.0,1,0
7,1179,45,138745.0,1,3
8,1135,43,56017.0,3,1
9,974,26,66257.0,1,3
10,409,34,54853.0,3,0
11,827,29,45179.0,4,1
12,637,45,46552.0,5,0
13,462,40,82332.0,1,0
14,709,24,49913.0,1,0
15,1174,25,57771.0,1,0
16,965,46,73990.0,2,1
17,113,51,35123.0,1,0
18,64,61,29350.0,1,0
19,831,22,60370.0,1,2
20,349,28,28319.0,1,0
21,606,59,44033.0,1,0
22,807,18,98822.0,1,2
23,888,21,51820.0,2,2
24,99,18,49197.0,1,0
25,405,52,128229.0,2,1
26,695,18,49133.0,5,0
27,1114,42,38274.0,1,2
28,1057,43,52158.0,5,2
29,838,45,45865.0,4,0
30,304,32,46278.0,1,1
31,166,34,41847.0,2,1
32,589,28,48539.0,2,1
33,27,41,65260.0,1,1
34,1110,53,39313.0,1,2
35,1149,26,61157.0,1,2
36,1110,38,21172.0,2,0
37,131,31,50564.0,1,2
38,240,24,46431.0,2,0
39,79,34,30374.0,1,0
40,392,55,50307.0,1,0
41,1055,26,47531.0,1,0
42,189,42,72739.0,1,3
43,1119,25,98812.0,1,3
44,313,37,56725.0,1,1
45,85,58,35881.0,2,0
46,828,39,32916.0,3,1
47,802,40,76801.0,1,2
48,832,39,63986.0,2,1
49,128,58,75455.0,1,2
50,536,34,77403.0,1,0
51,612,41,37260.0,1,0
52,223,27,62094.0,2,1
53,790,35,59774.0,2,0
54,362,46,34192.0,3,0
55,319,41,107748.0,1,0
56,710,30,91047.0,1,2
57,566,23,40622.0,1,1
58,212,52,25849.0,2,0
59,643,53,67637.0,1,2
60,978,19,28452.0,1,1
61,672,47,33967.0,1,0
62,1166,50,48924.0,1,3
63,721,26,30726.0,2,2
64,1068,40,37087.0,1,0
65,166,62,65879.0,2,2
66,16,41,45858.0,2,0
67,710,33,36058.0,1,1
68,174,31,30755.0,2,2
69,584,35,23749.0,1,0
70,521,46,48542.0,4,0
71,518,47,41197.0,2,1
72,133,50,90989.0,2,2
73,510,33,60801.0,1,0
74,822,37,37914.0,1,2
75,85,49,99648.0,4,2
76,546,32,47925.0,2,0
77,22,52,51821.0,3,0
78,1020,36,25784.0,3,2
79,176,28,35111.0,1,1
80,395,18,110953.0,1,2
81,345,39,46068.0,2,0
82,185,54,90954.0,1,0
83,335,20,85704.0,2,1
84,242,32,34004.0,1,1
85,628,38,60946.0,2,1
86,387,21,40402.0,2,0
87,376,34,61706.0,3,2
88,133,78,80974.0,3,1
89,1082,38,51044.0,1,0
90,952,49,46643.0,1,1
91,216,51,108439.0,4,0
92,546,59,58421.0,1,0
93,150,73,38719.0,1,1
94,1045,35,23362.0,1,0
95,902,20,35402.0,1,0
96,572,49,41181.0,2,1
97,825,30,41419.0,5,0
98,629,63,67735.0,1,0
99,892,47,52674.0,1,1
100,601,34,53294.0,1,2
101,467,27,124133.0,1,2
102,849,33,158070.0,1,3
103,1041,45,23106.0,1,0
104,655,25,37567.0,3,2
105,774,18,48165.0,1,2
106,929,53,66903.0,2,1
107,65,68,52851.0,1,0
108,413,51,40481.0,2,0
109,222,44,44535.0,1,0
110,809,47,38044.0,1,1
111,49,18,29119.0,2,0
112,1112,18,38037.0,1,1
113,45,50,28287.0,2,1
114,231,56,58284.0,4,1
115,407,33,27851.0,4,1
116,511,18,64727.0,2,2
117,253,54,37082.0,5,2
118,290,31,76364.0,2,1
119,154,18,47809.0,2,1
120,219,36,88872.0,2,2
121,451,46,47179.0,1,0
122,535,30,56255.0,3,1
123,468,30,28377.0,2,2
124,946,48,40571.0,1,2
125,1081,54,51722.0,1,0
126,209,61,51140.0,4,2
127,643,24,48672.0,5,0
128,465,52,85720.0,1,1
129,407,39,81466.0,5,2
130,66,37,29848.0,1,1
131,484,36,76635.0,3,0
132,141,63,73971.0,2,0
133,1154,47,57956.0,2,0
134,334,45,65333.0,1,3
135,255,24,55391.0,2,1
136,450,45,42671.0,5,1
137,667,35,46289.0,2,0
138,970,45,105602.0,1,3
139,401,53,48689.0,2,3
140,181,29,34366.0,1,2
141,710,27,54213.0,2,1
142,965,46,80857.0,1,1
143,58,47,83848.0,1,0
144,423,30,45359.0,1,2
145,1131,38,45644.0,1,0
146,446,61,58843.0,1,0
147,719,55,49566.0,1,2
148,413,40,48727.0,1,1
149,607,33,29447.0,5,1
150,466,53,45002.0,2,0
151,1058,38,71161.0,1,2
152,636,78,31243.0,2,0
153,403,73,82230.0,1,1
154,1024,46,92588.0,2,0
155,799,18,54744.0,1,1
156,675,49,45660.0,3,0
