id,passenger_id,flight_id,fare_class,purchase_channel,ticket_price,ancillaries_spend
1,2151,368,0,2,205.05,72.82
2,929,396,1,0,453.33,1.79
3,2716,532,0,0,626.99,20.89
4,237,910,0,1,386.1,8.32
5,3138,303,0,0,292.12,46.67
6,154,1024,0,1,199.02,71.32
7,3524,273,0,2,420.46,35.06
8,1903,434,2,0,376.75,36.26
9,2139,489,1,2,241.87,67.83
10,2170,142,2,2,166.8,20.29
11,218,706,1,0,310.53,40.21
12,3623,948,1,0,411.6,24.63
13,605,266,0,3,247.72,3.59
14,433,96,1,3,417.01,8.05
15,3756,471,0,0,278.75,16.16
16,2374,645,0,0,140.01,9.4
17,1952,831,1,2,1178.35,84.04
18,929,396,1,1,517.55,35.18
19,1261,205,1,3,177.41,31.81
20,1537,1144,1,2,978.83,21.32
21,962,977,0,0,70.64,10.97
22,3334,486,1,3,600.22,74.19
23,1459,1184,0,1,164.59,19.97
24,3235,645,0,1,138.92,39.16
25,952,924,0,3,145.8,41.52
26,3915,36,1,2,223.58,32.45
27,1012,135,0,2,260.34,64.04
28,974,148,0,0,219.27,37.79
29,1370,717,0,1,234.08,26.99
30,2110,764,2,2,417.87,39.0
31,2634,914,0,3,147.71,35.02
32,2014,247,0,0,320.15,61.57
33,2733,1057,2,0,1914.14,50.67
34,1061,391,0,1,387.31,5.01
35,3929,415,1,1,394.95,11.71
36,2947,134,0,1,237.91,38.95
37,2675,773,0,3,404.76,9.99
38,655,37,2,3,901.09,57.16
39,3272,1064,0,1,586.58,29.17
40,1951,374,1,2,248.33,21.04
41,2983,879,0,1,315.21,19.94
42,151,1058,0,2,205.14,42.13
43,3919,523,1,2,533.47,24.77
44,1428,78,1,3,581.71,11.95
45,2113,1104,2,0,321.64,23.61
46,3743,397,1,1,422.41,24.14
47,4113,815,0,0,79.15,54.93
48,609,1065,0,1,115.2,44.27
49,1709,591,1,0,420.86,45.64
50,729,544,0,1,188.2,55.01
51,1293,174,0,1,269.86,34.28
52,4195,1089,1,0,562.05,12.2
53,3245,853,0,1,172.55,29.16
54,1476,857,0,1,595.46,3.62
55,886,652,1,1,258.3,25.23
56,300,111,0,3,315.47,25.51
57,1257,402,0,0,740.61,22.22
58,2669,285,2,1,1806.88,24.15
59,3094,830,0,1,210.86,55.6
60,2043,216,0,1,532.97,8.2
61,2344,271,1,2,365.13,39.08
62,4033,832,0,2,267.72,40.39
63,3895,60,1,0,1251.29,32.86
64,1154,219,0,1,177.03,24.85
65,3658,877,1,1,251.19,25.82
66,2467,228,0,0,212.96,24.88
67,3490,1116,1,3,619.72,34.06
68,1262,502,0,3,826.66,33.06
69,759,608,0,2,442.87,66.95
70,3192,72,0,0,337.83,29.53
71,3411,1047,0,1,381.27,35.63
72,362,942,0,3,161.56,11.92
73,3601,602,0,1,175.38,103.26
74,3162,1097,0,0,204.0,33.33
75,2728,844,0,1,375.13,46.86
76,3021,900,1,1,382.18,21.5
77,2814,976,1,0,534.05,41.84
78,1335,451,0,0,157.32,7.02
79,837,320,0,3,385.14,22.97
80,358,31,0,0,341.42,7.64
81,1996,124,0,2,261.14,9.12
82,3908,336,1,0,544.73,18.38
83,930,306,0,1,690.02,37.05
84,867,988,0,3,667.47,18.69
85,2442,629,0,0,90.66,63.68
86,42,189,1,0,280.7,56.72
87,3720,832,2,2,723.06,59.43
88,1180,1041,0,0,101.73,18.56
89,3658,877,1,3,182.28,61.01
90,3977,523,1,0,429.98,4.36
91,2080,1160,0,0,118.56,45.12
92,2569,495,2,1,369.32,12.73
93,2812,526,1,1,346.68,47.98
94,107,65,0,3,269.95,15.53
95,868,186,2,1,873.67,62.43
96,2082,558,1,3,288.5,44.76
97,2887,459,2,0,1546.47,34.56
98,2268,991,1,0,780.57,33.13
99,2663,515,0,2,119.92,58.54
100,4044,511,1,0,228.39,25.71
101,1680,554,0,2,157.17,98.61
102,887,111,0,1,279.96,1.06
103,2783,402,2,1,1838.59,25.25
104,1032,856,1,1,262.1,56.2
105,1945,565,0,1,144.14,43.07
106,3880,907,1,3,439.01,17.43
107,4029,299,0,0,190.23,45.71
108,1,626,0,1,160.16,90.87
109,2225,23,0,0,302.06,20.71
110,1242,271,0,2,225.99,49.26
111,3100,1170,1,3,610.55,31.09
112,804,65,0,0,205.41,31.94
113,67,710,0,1,262.65,12.13
114,4197,703,1,0,564.71,5.07
115,2382,1124,2,0,690.18,147.68
116,2375,21,0,1,79.53,4.22
117,403,934,1,1,921.45,14.93
118,2599,1128,2,0,772.52,107.76
119,1377,272,0,2,131.65,10.52
120,776,1026,0,2,220.17,10.04
121,2689,1139,0,0,79.78,22.02
122,1025,801,0,1,230.7,46.2
123,570,171,2,2,630.1,73.05
124,2857,436,0,1,199.25,50.99
125,3828,8,2,0,999.84,42.02
126,323,1161,1,0,260.9,65.86
127,4065,364,1,0,545.19,62.05
128,1622,842,2,0,357.17,86.85
129,2379,51,0,0,340.35,37.24
130,9,974,1,2,176.19,4.05
131,5,999,0,0,58.91,2.28
132,3847,578,0,2,242.6,26.65
133,3081,267,0,3,129.71,19.9
134,3306,678,1,0,252.47,128.24
135,985,620,2,0,1868.18,32.87
136,2377,983,0,1,231.31,39.71
137,2702,798,1,3,270.36,10.08
138,4101,140,0,2,180.86,14.18
139,4118,353,0,1,450.1,40.07
140,3876,764,0,1,72.14,21.91
141,3295,754,2,2,325.95,27.92
142,754,371,0,0,121.05,55.19
143,101,467,1,2,219.13,24.55
144,3209,730,1,0,584.11,2.71
145,865,1124,2,0,640.77,17.63
146,3637,590,0,2,241.29,40.22
147,3701,817,0,2,245.18,47.19
148,305,419,0,3,387.23,10.82
149,235,1043,2,3,1410.31,37.72
150,864,983,0,0,252.7,15.26
151,124,946,0,3,353.18,33.03
