id,ticket_id,passenger_id,bag_count,bag_weight,is_priority,oversize_flag
1,671,688,2,18.53,0,0
2,159,678,1,17.32,0,0
3,763,659,1,11.22,0,0
4,1618,497,1,10.33,0,0
5,1263,404,3,13.41,0,0
6,1613,750,3,23.55,0,0
7,180,1370,3,22.0,0,0
8,1401,427,1,15.16,0,0
9,406,287,1,11.23,0,0
10,838,1310,1,12.88,0,0
11,1727,249,1,19.07,0,0
12,44,1144,1,17.15,0,0
13,1231,1397,2,12.0,0,0
14,1246,570,1,7.38,0,0
15,1821,543,1,12.4,1,0
16,102,1078,1,10.64,0,0
17,809,200,1,14.62,1,0
18,768,1130,1,17.4,0,0
19,1756,1198,1,6.35,0,0
20,1726,1259,1,15.74,0,0
21,1834,379,1,18.73,0,0
22,64,1265,1,15.18,0,0
23,687,433,1,14.13,1,0
24,89,986,1,12.38,1,0
25,1348,653,1,17.27,0,0
26,1296,443,3,18.38,0,0
27,530,1066,2,13.5,0,0
28,1280,289,1,4.2,1,0
29,113,460,1,7.37,0,0
30,1418,168,2,12.53,0,0
31,1554,75,1,10.87,1,0
32,845,1304,1,11.38,0,0
33,1017,65,1,12.65,0,0
34,713,303,2,16.97,0,0
35,1616,126,2,14.82,1,0
36,1686,120,1,14.6,0,0
37,151,815,1,17.12,0,0
38,1458,307,2,16.74,0,0
39,1600,40,1,13.7,1,0
40,256,1390,1,13.92,0,0
41,897,304,1,14.25,0,0
42,1611,955,1,17.85,1,0
43,909,959,1,8.63,0,0
44,835,1306,1,12.62,0,0
45,1227,613,3,15.92,1,0
46,540,1295,1,14.17,0,0
47,971,480,2,15.14,0,0
48,1306,1237,1,14.24,1,0
49,585,1197,1,12.2,0,0
50,349,327,3,20.55,0,0
51,1616,126,1,16.82,0,0
52,1467,1200,2,12.01,1,0
53,74,863,1,10.35,0,0
54,1234,659,1,14.24,1,0
55,497,117,3,18.34,0,0
56,1677,1271,1,16.01,1,0
57,1720,363,3,13.89,0,0
58,961,84,1,17.43,0,0
59,781,904,1,9.38,0,0
60,1519,53,1,12.65,0,0
61,1572,1355,2,17.15,0,0
62,948,1344,1,15.79,0,0
63,1458,307,3,15.85,1,0
64,1819,794,1,15.13,0,0
65,1746,1028,1,13.92,0,0
66,453,508,2,8.95,0,0
67,1484,1284,3,11.09,0,0
68,585,1197,1,17.33,1,0
69,1670,136,1,17.23,0,0
70,7,792,2,17.08,0,0
71,1575,217,2,23.9,0,0
72,1409,247,3,15.48,0,0
73,1851,360,1,11.01,0,0
74,1565,892,1,14.15,0,0
75,1871,68,1,10.58,0,0
76,347,1150,1,12.51,0,0
77,1783,392,1,14.94,0,0
78,706,173,2,13.58,0,0
79,1124,270,1,11.78,0,0
80,334,1041,1,17.61,1,0
81,639,548,1,10.29,1,0
82,1404,1304,1,15.32,0,0
83,1586,398,2,9.65,0,0
84,1075,407,1,11.38,0,0
85,924,852,1,8.55,0,0
86,195,246,2,17.08,0,0
87,1799,385,2,13.77,0,0
88,1610,956,2,13.87,0,0
89,827,1266,1,13.27,0,0
90,1103,1186,3,14.04,0,0
91,1216,822,2,14.81,0,0
92,1870,59,1,8.05,1,0
93,1796,116,2,18.76,0,0
94,888,615,1,11.61,0,0
95,957,1046,1,9.57,1,0
96,721,1174,1,23.32,0,0
97,812,1395,1,15.7,0,0
98,662,436,2,8.99,1,0
99,1827,141,1,15.66,0,0
100,175,1025,1,13.12,0,0
101,1259,931,1,9.92,0,0
102,1871,68,2,12.76,0,0
103,724,397,1,18.04,0,0
104,100,259,1,13.42,0,0
105,465,1373,1,16.65,0,0
106,1580,571,1,13.62,0,0
107,708,1117,2,17.94,0,0
108,639,548,1,17.2,0,0
109,390,229,1,11.83,0,0
110,1325,174,1,12.54,1,0
111,707,813,2,13.67,0,0
112,293,1129,1,11.18,0,0
113,1437,653,1,9.35,1,0
114,454,871,1,10.61,1,0
115,333,247,2,16.48,0,0
116,1692,588,1,13.1,1,0
117,1091,447,1,11.73,0,0
118,768,1130,1,15.95,1,0
119,721,1174,1,15.54,0,0
120,580,883,1,19.32,0,0
121,1847,171,1,12.33,0,0
122,432,1152,2,11.02,1,0
123,699,514,1,12.01,0,0
124,1387,1322,1,11.02,0,0
125,1283,1235,1,11.49,0,0
126,145,640,1,22.32,0,0
127,971,480,2,13.75,0,0
128,131,929,1,12.02,1,0
129,1293,730,1,6.95,1,0
130,1816,2,1,6.48,1,0
131,490,550,2,16.83,1,0
132,902,1058,1,16.72,0,0
133,1042,371,1,13.63,0,0
134,732,530,1,12.75,0,0
135,151,815,1,13.5,0,0
136,1217,1081,1,16.88,0,0
137,1835,877,1,11.98,0,0
138,1691,651,1,8.39,0,0
139,937,565,2,18.64,0,0
140,54,216,1,15.06,0,0
141,1015,7,2,20.1,0,0
142,1604,1169,2,7.44,0,0
143,598,243,1,17.01,0,0
144,236,736,1,18.1,0,0
145,991,612,1,9.04,0,0
146,950,400,1,19.57,0,0
147,835,1306,2,11.99,0,0
148,957,1046,1,21.18,0,0
149,1119,314,1,18.64,0,0
150,375,635,1,15.82,0,0
151,646,1245,2,19.99,0,0
152,328,515,1,19.75,0,0
153,1171,183,1,16.35,0,0
154,188,519,1,15.29,1,0
155,1780,1147,2,15.17,0,0
156,669,1289,1,13.36,0,0
157,866,776,3,18.04,0,0
158,1131,1046,2,13.27,0,0
159,1368,398,1,10.73,0,0
160,804,620,2,15.65,1,0
161,1625,1372,2,9.62,1,0
162,1057,824,1,12.8,1,0
163,133,569,1,14.77,0,0
164,709,391,1,18.83,0,0
165,1892,262,1,14.87,0,0
166,433,42,2,14.09,0,0
167,1555,83,1,14.46,0,0
168,540,1295,1,14.75,0,0
169,992,924,1,13.16,1,0
170,580,883,1,21.04,0,0
171,101,642,3,23.15,1,0
172,1892,262,1,7.5,1,0
173,568,683,4,17.32,0,0
174,691,772,2,10.73,0,0
175,1227,613,1,17.42,0,0
176,106,197,1,12.88,0,0
177,663,405,1,16.46,0,0
178,348,896,3,15.07,1,0
179,1610,956,2,7.63,1,0
180,823,159,1,10.94,0,0
181,282,704,2,15.22,0,0
182,1225,435,2,13.56,0,0
183,475,915,1,13.89,0,0
184,696,1069,1,9.49,0,0
185,701,187,2,13.78,0,0
186,1532,328,3,8.97,0,0
187,1627,967,2,8.1,0,0
188,161,465,2,11.66,1,0
189,1490,920,1,15.21,0,0
190,1016,135,2,14.45,0,0
191,1210,1270,1,12.35,0,0
192,1024,1098,1,8.66,0,0
193,1370,412,2,12.89,0,0
194,1341,528,2,11.13,0,0
195,1713,487,2,11.49,1,0
196,255,886,2,11.13,0,0
197,12,127,1,16.22,1,0
198,469,193,2,14.56,0,0
199,62,1150,1,17.82,0,0
200,1738,1221,1,11.64,0,0
201,376,1313,2,22.92,0,0
202,602,1297,1,15.65,0,0
203,995,461,1,12.66,0,0
204,1165,963,3,14.67,0,0
205,1694,832,1,16.94,1,0
206,1683,12,3,23.41,0,0
207,676,112,1,17.67,0,0
208,1707,88,1,21.61,0,0
209,1399,1210,1,18.66,1,0
210,1833,1359,4,17.44,1,0
211,1755,779,1,7.16,0,0
212,1184,1331,1,20.22,0,0
213,567,392,2,12.08,1,0
214,880,1108,1,11.57,0,0
215,1523,1085,1,15.12,0,0
216,541,1044,2,13.54,1,0
217,697,649,2,20.59,0,0
218,517,595,1,14.76,0,0
219,1399,1210,1,16.4,1,0
220,28,353,1,12.15,0,0
221,1884,361,2,10.95,1,0
222,226,576,1,8.92,1,0
223,1641,994,1,12.86,0,0
224,1809,1064,1,11.57,1,0
225,154,269,1,12.11,1,0
226,1414,395,2,9.89,0,0
227,800,904,2,20.5,0,0
228,119,110,3,19.11,1,0
229,82,486,2,12.32,1,0
