id,ticket_id,claim_type,claim_amount,resolved_days,fraud_flag
1,52,0,40.37,9,0
2,1450,3,465.06,13,0
3,578,1,99.04,15,0
4,410,0,163.51,11,0
5,1640,0,65.74,11,0
6,575,1,558.01,11,0
7,649,0,172.25,7,0
8,984,0,49.77,5,0
9,550,2,801.54,8,0
10,1320,3,90.51,16,0
11,1846,0,154.73,9,0
12,1755,0,337.41,2,0
13,1118,0,215.29,7,0
14,876,3,49.78,11,0
15,397,0,55.95,4,0
16,1347,0,32.91,4,0
17,1810,1,142.12,4,0
18,709,0,222.19,11,0
19,77,1,42.74,7,0
20,309,0,87.98,2,0
21,371,0,30.0,2,0
22,1012,0,60.41,15,0
23,648,1,506.81,6,0
24,857,0,699.57,5,1
25,1880,2,168.78,3,0
26,721,0,135.99,4,0
27,1268,0,32.87,8,0
28,1523,1,85.94,2,0
29,381,2,111.67,11,0
30,422,0,83.22,8,0
31,1119,0,234.22,12,0
32,1684,0,198.9,9,0
33,673,1,252.22,3,0
34,875,0,212.85,9,0
35,1363,3,212.41,15,0
36,1586,1,504.54,12,0
37,769,0,110.82,14,0
38,847,0,30.0,3,0
39,918,0,160.69,5,0
40,1817,1,248.96,10,1
41,1774,0,186.86,3,0
42,1119,1,32.14,7,0
43,1106,1,230.85,6,0
44,976,0,58.85,5,0
45,1865,3,243.6,8,0
46,1350,0,125.9,1,0
47,1852,0,234.36,11,0
48,672,3,771.56,16,0
49,607,0,61.56,10,0
50,1265,1,800.74,6,0
51,1041,0,74.1,4,0
52,506,1,711.95,13,0
53,317,0,91.43,10,0
54,1541,1,134.32,5,0
55,1513,0,37.02,13,0
56,101,2,84.47,6,0
57,904,0,62.51,8,1
58,1041,0,40.36,2,0
59,415,0,284.23,2,0
60,393,0,43.85,8,0
61,685,0,378.43,9,0
62,563,0,58.0,5,0
63,847,0,185.69,7,0
64,368,2,2232.23,4,0
65,838,3,247.62,16,0
66,179,2,30.0,10,1
67,20,1,330.15,9,0
68,1124,2,56.87,6,0
69,120,1,181.66,5,0
70,1181,3,52.74,8,0
71,771,1,134.14,10,0
72,1746,2,259.52,7,0
73,663,0,196.32,8,0
74,820,0,112.25,9,0
75,1269,1,114.62,1,0
76,72,0,218.27,8,0
77,1325,2,1478.04,4,0
78,1696,1,327.78,7,0
79,1411,2,77.78,9,0
80,650,0,75.68,6,0
81,449,0,402.56,9,0
82,178,3,179.07,4,0
83,156,1,45.22,10,0
84,1321,0,47.85,9,0
85,1703,1,38.45,8,0
86,1839,0,95.88,10,0
87,670,0,286.5,5,0
88,828,0,230.44,5,0
89,1132,1,166.71,8,0
90,156,0,39.16,5,0
91,942,0,55.5,11,0
92,1817,0,146.27,13,0
93,1636,1,190.23,8,0
94,1359,1,30.0,6,0
95,1500,0,43.7,7,0
96,790,2,244.87,3,0
97,1891,1,136.39,7,0
98,416,2,96.62,18,0
99,1485,2,288.65,3,0
100,1031,0,194.11,7,0
101,1587,0,99.01,9,0
102,1225,1,30.0,10,0
103,1177,1,60.04,8,0
104,1301,0,68.59,5,0
105,728,0,84.95,13,0
106,687,1,104.06,1,0
107,1404,0,30.0,10,0
108,1274,0,30.0,7,0
109,1005,2,428.84,9,0
110,1695,3,302.32,8,0
111,1234,0,275.48,5,0
