id,origin_airport_id,destination_airport_id,distance,departure_hour,airline_code,is_delayed
1,9,10,718.3,20,1,1
2,2,12,205.3,18,1,0
3,10,9,1109.5,18,3,0
4,3,6,378.0,18,0,1
5,8,12,1579.5,8,2,1
6,11,4,3409.0,9,3,1
7,7,8,1500.0,9,4,0
8,12,1,3000.8,11,1,1
9,3,1,1875.4,1,4,1
10,11,6,594.6,20,1,0
11,6,8,494.0,23,0,1
12,1,5,3260.5,10,3,1
13,1,10,1366.7,7,2,0
14,4,2,2757.7,15,4,1
15,12,2,1056.5,9,0,1
16,4,8,724.1,4,2,1
17,11,4,535.9,4,1,1
18,6,2,1192.9,14,4,0
19,1,2,1549.6,15,0,0
20,1,3,224.2,9,3,0
21,3,5,1619.6,12,0,0
22,12,2,686.1,13,0,0
23,11,5,777.4,17,1,0
24,6,4,665.6,5,3,0
25,4,9,435.7,8,0,0
26,12,10,467.5,7,2,0
27,12,4,1282.3,20,0,1
28,6,5,581.6,20,5,0
29,11,1,3406.6,16,2,0
30,7,1,647.3,7,4,1
31,2,1,1099.5,20,2,1
32,8,1,3117.9,14,5,1
33,10,3,715.6,15,3,0
34,7,10,601.3,8,2,0
35,8,7,3168.9,9,5,1
36,12,5,3379.9,7,0,1
37,11,4,439.2,9,4,1
38,5,7,2696.5,10,2,1
39,4,10,1346.0,6,2,0
40,2,1,477.2,10,3,1
41,4,10,527.6,6,1,1
42,8,12,546.4,18,4,1
43,12,7,2696.1,15,4,0
44,7,11,490.8,21,2,0
45,3,5,752.8,18,1,0
46,2,3,3090.8,3,0,1
47,8,3,551.4,13,1,0
48,6,1,650.5,9,2,0
49,7,8,1198.9,8,5,0
50,11,6,1316.8,18,0,0
51,8,9,3895.1,17,2,1
52,3,6,512.2,5,4,0
53,1,2,1593.4,12,2,1
54,4,5,3722.0,2,4,1
55,7,3,328.4,8,0,1
56,10,8,1279.0,11,3,1
57,2,1,3083.3,18,1,1
58,4,8,2803.6,11,3,1
59,11,3,452.8,9,2,0
60,4,8,641.2,10,2,1
61,8,9,599.7,8,3,0
62,11,8,4034.3,19,4,1
63,3,11,499.3,21,1,0
64,1,5,1506.3,13,1,0
65,6,10,477.8,3,3,1
66,1,6,553.2,5,4,0
67,12,6,3154.5,1,2,1
68,2,7,610.9,16,4,0
69,8,12,3875.0,13,3,1
70,4,6,1404.0,12,0,0
71,1,10,292.5,7,0,0
72,10,9,571.9,9,1,0
73,5,3,2974.1,17,0,1
74,3,2,459.6,5,1,0
75,7,10,591.5,9,0,0
76,7,5,3256.6,9,0,1
77,12,3,773.1,14,3,0
78,7,12,1627.2,10,4,1
79,9,5,1375.3,17,2,1
80,12,10,2650.3,17,3,1
81,12,2,501.7,3,0,0
82,1,8,657.6,2,3,0
83,9,6,1374.3,4,3,1
84,1,12,752.4,11,1,0
85,11,9,1617.3,16,3,0
86,6,5,1430.2,5,4,1
87,11,4,1428.9,11,1,0
88,10,5,1276.8,13,0,0
89,3,2,3256.6,6,1,1
90,5,7,1560.1,14,5,1
91,1,9,1708.1,7,2,0
92,5,2,1575.1,15,1,1
93,9,3,483.8,9,1,0
94,2,8,517.7,9,0,0
95,11,5,1389.6,9,1,0
96,7,12,2986.2,10,5,0
97,1,4,1246.8,23,0,1
98,12,11,672.4,17,4,1
99,8,2,1409.4,10,5,0
100,3,6,1354.8,18,1,1
101,11,1,1574.6,10,2,1
102,3,6,676.7,13,1,0
103,3,8,482.6,20,1,1
104,9,1,1452.9,7,0,0
105,10,3,3955.3,8,2,1
106,5,11,1526.8,20,1,1
107,9,11,120.0,4,0,1
108,8,6,417.1,2,5,0
109,1,11,366.9,18,4,0
110,10,8,1306.9,8,5,1
111,3,5,480.4,5,2,1
112,2,1,658.1,17,0,0
113,6,5,2947.6,22,3,1
114,3,9,3991.5,10,2,1
115,10,1,1472.0,18,2,1
116,9,12,644.1,10,3,0
117,11,2,498.1,8,4,1
118,9,7,402.9,9,1,0
119,4,11,2729.0,2,2,1
120,8,1,1558.4,7,5,0
121,9,6,737.6,14,3,1
122,4,9,711.1,15,2,1
123,6,1,1406.6,8,3,0
124,4,6,1634.9,5,2,0
125,9,5,1386.8,15,5,0
126,1,10,1585.9,7,0,0
127,5,8,3463.8,17,1,0
128,4,2,652.4,10,0,0
129,1,4,3452.5,8,2,1
130,9,7,1516.9,3,0,0
131,10,8,514.0,9,4,1
132,3,5,496.5,10,1,1
133,4,5,704.9,19,1,1
134,1,8,1500.0,7,3,1
135,7,2,1571.8,12,1,1
136,6,2,1527.4,23,1,0
137,1,11,474.5,19,0,0
138,3,2,635.4,7,1,1
139,5,6,3184.9,12,4,1
140,6,10,2959.4,18,1,1
141,3,4,882.0,6,0,0
142,5,12,956.9,8,2,0
143,3,8,480.6,6,1,0
144,1,12,582.4,14,2,0
145,1,3,748.1,19,0,0
146,11,8,1009.2,9,1,0
147,7,8,831.2,17,1,0
148,11,4,535.8,9,3,0
149,2,5,1236.7,7,1,0
150,2,3,555.0,16,0,0
151,12,7,1216.1,17,0,1
152,6,7,572.3,7,4,1
153,12,5,645.8,6,3,1
154,1,7,3152.6,6,4,1
155,12,9,323.5,12,0,0
156,12,2,1158.0,7,2,1
157,3,10,566.6,11,1,0
158,8,9,3211.0,6,4,1
159,11,3,1385.0,19,1,1
160,5,1,1608.6,9,3,1
161,11,1,553.7,19,2,0
162,10,11,357.1,3,3,1
