id,flight_id,age,annual_income,group_size,loyalty_tier
1,334,40,53071.0,2,1
2,339,37,75069.0,2,0
3,395,41,44002.0,1,0
4,38,37,89034.0,3,0
5,334,63,27635.0,1,0
6,154,34,45391.0,1,1
7,74,54,49024.0,1,1
8,56,26,57130.0,2,2
9,210,40,43796.0,2,3
10,252,43,23620.0,1,0
11,413,32,77689.0,1,0
12,127,37,56628.0,1,1
13,63,50,55605.0,2,1
14,11,49,84142.0,1,3
15,260,19,72792.0,2,2
16,111,18,30343.0,1,1
17,223,48,40917.0,2,0
18,385,31,47554.0,1,2
19,77,41,31065.0,3,0
20,85,18,43155.0,3,0
21,100,22,74842.0,1,3
22,289,37,48717.0,1,0
23,354,56,27623.0,1,1
24,53,36,45240.0,4,0
25,8,23,83040.0,4,1
26,317,31,19042.0,1,0
27,70,24,71411.0,1,1
28,402,65,35334.0,2,0
29,119,40,133351.0,2,3
30,396,45,18000.0,4,1
31,44,51,89079.0,3,2
32,196,34,56699.0,3,0
33,225,22,64192.0,2,2
34,262,29,94671.0,3,0
35,256,37,84009.0,1,1
36,38,39,42866.0,2,0
37,63,34,27426.0,1,0
38,222,61,66722.0,1,0
39,321,24,99387.0,1,1
40,270,35,48819.0,3,0
41,63,36,34499.0,1,2
42,285,18,23755.0,4,0
43,166,24,56987.0,1,0
44,261,63,72971.0,1,3
45,175,41,73285.0,1,1
46,9,43,24331.0,1,1
47,234,18,39899.0,1,1
48,103,64,37457.0,1,0
49,28,33,119224.0,1,2
50,310,51,32661.0,1,0
51,141,59,62525.0,1,1
52,304,53,38423.0,1,1
53,377,25,43910.0,1,0
54,87,57,69543.0,2,0
55,353,34,78191.0,1,1
56,388,53,35840.0,1,0
57,115,32,36794.0,1,2
58,225,47,50629.0,1,1
59,159,23,35793.0,1,1
60,134,38,45277.0,1,0
61,106,72,40583.0,4,1
62,198,18,29566.0,1,0
63,277,46,41327.0,1,1
64,336,24,51770.0,2,1
65,337,49,42279.0,3,1
66,120,51,79717.0,2,0
67,194,56,43602.0,1,1
68,18,56,34246.0,1,0
69,186,43,28130.0,2,0
70,329,42,66229.0,1,1
71,161,22,31171.0,1,1
72,80,39,46515.0,3,1
73,115,21,38841.0,5,0
74,382,34,38288.0,1,1
75,127,48,79409.0,1,0
76,190,50,29540.0,1,0
77,144,34,76886.0,3,2
78,253,45,69034.0,4,0
79,270,25,27470.0,2,1
80,341,57,57298.0,1,0
81,203,18,104474.0,1,3
82,382,35,46318.0,2,1
83,185,18,39464.0,2,0
84,401,61,30014.0,1,0
85,344,21,49108.0,1,0
86,182,56,33427.0,3,0
87,32,31,59638.0,1,2
88,16,32,61613.0,1,0
89,282,62,90533.0,2,0
90,232,27,20739.0,5,1
91,15,44,55148.0,3,0
92,247,18,48052.0,2,0
93,286,47,47638.0,1,2
94,308,34,101196.0,4,2
95,322,33,71371.0,1,0
96,241,18,110644.0,2,1
97,95,21,102971.0,1,2
98,120,33,60144.0,1,2
99,312,49,36764.0,1,0
100,35,31,43170.0,2,3
101,334,49,34855.0,1,0
102,191,40,71912.0,3,1
103,258,19,56180.0,1,0
104,191,43,35479.0,1,0
105,234,40,49064.0,1,1
106,2,56,50451.0,1,2
107,396,18,38224.0,3,2
108,98,28,37176.0,4,0
109,303,39,32191.0,3,0
110,148,44,41757.0,1,2
111,164,30,47656.0,2,1
112,259,54,73578.0,1,1
113,73,18,25813.0,1,1
114,79,53,52657.0,1,0
115,64,33,98883.0,1,0
116,13,55,54208.0,3,2
117,23,30,78208.0,2,0
118,216,28,31630.0,2,0
119,372,42,67028.0,1,2
120,188,43,63336.0,1,2
121,156,47,66614.0,2,0
122,414,26,50945.0,2,0
123,101,48,33421.0,1,0
124,77,39,29443.0,1,0
125,180,35,51907.0,1,1
126,150,35,40988.0,1,0
127,345,34,20792.0,2,1
128,272,32,69871.0,2,0
129,213,18,32362.0,1,0
130,376,38,38555.0,4,0
131,198,32,47744.0,1,0
132,292,36,93255.0,1,1
133,335,46,37309.0,1,0
134,354,30,77521.0,1,2
135,280,25,68184.0,4,0
136,178,23,34136.0,3,1
137,357,47,58863.0,3,0
138,396,43,104127.0,3,0
139,299,51,39141.0,2,0
140,241,46,42676.0,1,0
141,172,23,24066.0,1,0
142,219,18,28626.0,2,0
143,64,30,82707.0,1,1
144,118,32,27972.0,2,0
145,406,31,76999.0,2,2
146,202,47,36281.0,1,1
147,211,38,43894.0,4,0
148,394,51,25033.0,3,0
149,282,46,46306.0,2,1
150,299,33,25544.0,4,1
151,141,47,29607.0,1,2
152,206,66,59815.0,1,0
153,236,30,37294.0,2,0
154,2,18,66297.0,3,0
155,108,28,43271.0,1,0
156,265,18,47206.0,2,3
157,225,40,69764.0,1,2
158,374,47,56923.0,2,0
159,418,45,52452.0,1,0
160,43,31,42799.0,1,1
161,269,32,34696.0,3,0
162,180,42,66927.0,1,0
163,21,33,40423.0,1,0
164,8,38,70212.0,2,1
165,402,35,43776.0,2,0
166,332,32,30899.0,3,0
167,94,18,43080.0,1,0
168,28,18,124393.0,2,2
169,226,50,77275.0,2,1
170,7,24,99089.0,1,1
171,103,18,55364.0,2,0
172,277,50,41914.0,1,0
173,36,28,41625.0,1,0
174,146,41,64669.0,1,0
175,344,45,33623.0,1,1
176,221,42,58540.0,1,2
177,154,29,40644.0,1,0
178,18,42,92720.0,1,0
179,31,30,35484.0,2,0
180,287,31,32167.0,2,2
181,202,28,44471.0,1,1
182,86,39,32263.0,4,2
183,224,64,52776.0,1,0
184,202,28,73060.0,4,2
185,217,63,73938.0,2,0
186,142,39,38288.0,1,0
187,41,41,53058.0,2,0
188,255,40,23532.0,1,0
189,352,30,48796.0,1,2
190,296,40,28737.0,1,0
191,274,37,94607.0,1,0
192,268,59,50228.0,1,0
193,364,37,94854.0,1,2
194,29,24,58016.0,1,1
195,403,34,28837.0,4,0
196,94,43,74333.0,5,0
197,399,46,102584.0,1,2
198,27,33,50057.0,1,0
199,387,58,87644.0,4,1
200,404,20,19376.0,3,0
201,45,27,36384.0,2,1
202,392,65,31780.0,2,0
203,379,60,111644.0,1,0
204,305,26,44327.0,2,1
205,31,81,53353.0,1,0
206,46,58,86441.0,3,3
207,79,42,52138.0,2,2
208,138,25,29498.0,1,0
209,383,21,189764.0,1,2
210,5,32,33419.0,2,0
211,104,46,31222.0,1,1
212,336,36,53988.0,1,0
213,303,38,42875.0,2,2
214,117,47,31685.0,4,1
215,6,18,69643.0,1,0
216,88,38,51715.0,2,2
217,365,37,126961.0,1,0
218,222,35,31818.0,1,0
219,168,41,84321.0,1,1
220,227,41,43633.0,1,0
221,410,41,33721.0,1,0
222,230,31,92846.0,1,1
223,364,42,34262.0,2,0
224,109,45,55975.0,2,1
225,257,35,73465.0,1,0
226,254,47,106536.0,1,0
227,109,40,112725.0,1,1
228,74,50,72225.0,1,0
229,228,44,56620.0,2,1
230,418,33,70731.0,2,2
231,84,26,49192.0,1,1
232,381,58,44880.0,4,0
233,344,57,73349.0,1,2
234,127,33,49251.0,1,1
235,318,28,51867.0,1,1
236,270,53,185437.0,1,1
237,36,27,44813.0,5,2
238,267,54,25710.0,1,0
239,412,30,36113.0,1,1
240,63,47,47999.0,1,0
241,359,42,40025.0,1,1
242,411,54,58818.0,2,3
243,418,30,86582.0,2,1
244,240,18,49634.0,2,0
245,187,33,20536.0,3,0
246,10,43,76212.0,1,1
247,203,26,108820.0,4,1
248,333,37,104765.0,2,3
249,228,22,49995.0,1,1
250,168,23,57650.0,4,3
251,268,46,85676.0,1,2
252,238,18,79243.0,1,1
253,12,56,152365.0,1,3
254,272,40,87992.0,2,2
255,336,42,60284.0,1,1
256,146,43,58028.0,1,2
257,75,47,50886.0,3,2
258,143,52,56110.0,2,0
259,312,44,40467.0,1,2
260,161,43,50927.0,1,0
261,186,28,45949.0,5,0
262,238,51,62048.0,2,1
263,19,30,56793.0,2,0
264,372,67,37512.0,1,1
265,203,34,26094.0,2,1
266,212,39,35034.0,1,1
267,250,42,57805.0,1,1
268,336,37,28126.0,2,2
269,420,45,52225.0,2,0
270,368,20,121906.0,2,1
271,363,31,30872.0,2,0
272,74,46,27832.0,1,0
273,255,46,43892.0,1,1
274,29,50,47208.0,1,0
275,112,35,46745.0,1,0
276,351,79,49262.0,3,0
277,407,42,63585.0,5,1
278,350,33,55562.0,1,0
279,120,38,54681.0,2,1
280,171,40,27865.0,1,1
281,269,26,58186.0,2,0
282,329,27,22245.0,4,0
283,359,63,31028.0,1,0
284,201,25,38158.0,3,1
285,34,43,50572.0,2,1
286,113,70,93834.0,3,1
287,55,33,18786.0,2,0
288,152,39,43666.0,1,1
289,341,27,35661.0,1,0
290,408,33,39183.0,1,0
291,283,39,70579.0,3,1
292,150,35,46020.0,4,3
293,35,44,43909.0,1,2
294,333,58,59900.0,2,0
295,61,42,19743.0,1,0
296,105,68,57763.0,1,1
297,370,41,54432.0,2,0
298,98,33,29162.0,2,1
299,236,37,42363.0,1,1
300,223,48,71786.0,2,1
301,318,42,20045.0,4,0
302,150,34,100262.0,2,3
303,336,33,58883.0,1,1
304,371,21,34945.0,1,2
305,117,46,69828.0,1,0
306,361,41,24371.0,1,1
307,314,42,43716.0,1,0
308,257,31,41162.0,1,0
309,96,52,35034.0,1,1
310,311,52,66135.0,3,2
311,402,18,32987.0,1,1
312,327,53,55078.0,1,3
313,13,29,69898.0,5,2
314,64,59,41306.0,2,0
315,187,44,51130.0,1,1
316,182,44,40866.0,3,0
317,149,29,49269.0,1,0
318,250,38,69499.0,2,1
319,380,18,60739.0,1,2
320,406,37,50718.0,1,1
321,352,36,26485.0,1,1
322,286,52,41984.0,2,0
323,299,51,29237.0,2,0
324,196,45,25591.0,1,3
325,262,58,50568.0,1,0
326,259,45,32514.0,1,0
327,169,51,90615.0,1,2
328,57,23,72860.0,4,1
329,309,48,69188.0,1,1
330,334,22,34375.0,2,0
331,5,34,24755.0,3,0
332,354,34,30439.0,2,0
333,312,30,44317.0,3,0
334,142,41,36630.0,1,1
335,384,43,25489.0,2,0
336,352,47,49997.0,4,1
337,182,39,67024.0,4,0
338,345,44,199465.0,3,1
339,176,38,57792.0,1,1
340,253,28,21543.0,2,0
341,175,19,42140.0,1,0
342,160,37,43861.0,2,1
343,152,18,37757.0,3,0
344,191,48,44929.0,1,0
345,174,31,88452.0,1,1
346,81,33,52777.0,2,1
347,311,32,19107.0,2,0
348,257,48,46523.0,4,2
349,388,62,65605.0,1,0
350,107,59,36710.0,2,0
351,329,31,27305.0,2,1
352,366,57,46152.0,1,0
353,5,18,43226.0,1,0
354,329,32,39952.0,2,0
355,187,40,42186.0,1,1
356,420,21,34938.0,3,0
