id,passenger_id,flight_id,fare_class,purchase_channel,ticket_price,ancillaries_spend
1,383,213,1,2,269.89,39.38
2,1240,42,2,0,385.16,113.05
3,1347,356,1,0,564.16,25.39
4,1093,224,0,1,206.36,50.09
5,473,263,1,0,290.15,40.6
6,899,108,1,2,162.73,24.85
7,792,357,0,0,211.73,61.57
8,467,90,1,2,490.56,31.45
9,152,206,0,0,101.18,45.39
10,276,351,0,3,150.93,24.31
11,775,84,1,2,310.94,40.52
12,127,345,2,0,437.26,8.02
13,335,384,1,3,1265.73,57.23
14,480,117,1,0,231.81,33.05
15,1003,127,0,3,752.86,49.54
16,422,296,0,0,313.51,9.46
17,1253,314,1,0,199.32,10.73
18,656,359,0,2,552.08,18.35
19,52,304,2,1,446.7,22.45
20,638,225,2,0,797.14,87.63
21,330,334,0,3,311.35,43.41
22,889,245,0,0,261.0,22.54
23,1322,221,0,3,223.58,93.6
24,1027,145,0,2,247.05,21.2
25,46,9,0,0,444.23,19.83
26,496,397,2,0,573.32,64.73
27,124,77,0,1,222.53,23.73
28,353,5,0,1,344.91,13.54
29,666,259,0,0,150.65,16.44
30,8,56,2,1,693.54,43.53
31,1137,185,0,0,640.53,10.79
32,752,126,0,0,353.59,6.58
33,74,382,1,2,308.73,23.46
34,1381,161,0,0,169.51,12.89
35,37,63,1,0,252.66,33.61
36,104,191,0,0,216.63,32.2
37,589,379,1,3,551.28,6.03
38,420,119,0,2,596.76,33.81
39,1051,372,1,2,440.41,44.2
40,891,407,0,1,91.81,42.06
41,1274,243,0,1,299.42,56.18
42,775,84,1,0,297.64,90.75
43,130,376,0,1,84.95,16.36
44,1144,382,0,0,65.63,12.69
45,283,359,0,2,581.62,44.08
46,1143,386,0,0,366.74,43.26
47,596,293,1,2,341.79,65.29
48,988,379,1,0,465.8,26.14
49,986,226,0,1,315.45,61.0
50,342,160,0,3,400.96,29.06
51,1189,58,2,0,1470.41,98.0
52,1025,327,0,3,425.89,35.67
53,1368,198,0,0,194.14,57.82
54,216,88,1,0,393.42,49.44
55,47,234,0,0,152.05,16.16
56,255,336,0,0,162.02,26.52
57,673,97,0,0,201.1,17.89
58,504,222,1,2,226.42,1.73
59,1035,185,0,2,582.93,25.49
60,630,240,0,3,363.71,7.58
61,891,407,1,0,268.48,14.27
62,1150,266,0,2,219.63,36.72
63,222,230,1,2,513.06,73.99
64,1265,375,0,0,608.78,48.06
65,970,232,1,0,407.72,45.29
66,814,93,0,0,128.08,29.38
67,374,161,0,2,177.8,53.93
68,986,226,0,2,394.75,30.84
69,1111,162,0,1,187.07,60.71
70,418,131,0,3,137.02,66.18
71,627,59,1,1,217.27,20.14
72,6,154,0,0,731.53,41.2
73,967,16,0,0,200.48,19.58
74,863,262,2,2,725.44,41.95
75,1182,67,0,2,626.16,12.88
76,1172,142,1,2,396.8,24.42
77,77,144,0,1,242.5,37.55
78,290,408,0,0,417.2,38.97
79,721,162,2,0,319.28,61.38
80,724,189,1,0,391.39,11.46
81,35,256,0,0,169.31,23.13
82,486,336,0,0,145.97,21.82
83,1120,31,0,0,247.29,67.03
84,55,353,1,0,492.0,38.94
85,1111,162,0,3,83.76,35.19
86,125,180,1,2,267.78,40.76
87,520,53,2,0,780.71,29.08
88,419,9,0,2,436.68,8.59
89,986,226,0,2,392.38,12.61
90,452,263,0,3,198.06,22.24
91,1021,213,0,3,185.37,19.03
92,478,33,2,2,471.76,60.0
93,1263,13,0,0,263.28,59.87
94,318,250,0,0,130.48,48.25
95,992,32,1,2,875.98,51.98
96,92,247,0,2,284.2,16.49
97,223,364,0,1,353.28,52.43
98,1245,380,0,2,179.34,43.29
99,95,322,1,0,448.54,44.49
100,259,312,2,0,877.22,71.11
101,642,123,1,2,468.15,35.17
102,1078,57,1,0,1054.94,26.23
103,1188,149,1,2,480.3,39.7
104,1322,221,0,3,226.86,19.21
105,1256,319,1,1,906.85,12.22
106,197,399,1,1,542.86,20.58
107,1152,199,0,2,181.08,21.88
108,861,263,1,3,275.9,54.49
109,1102,367,1,2,250.54,26.25
110,755,330,1,2,471.95,6.18
111,257,75,0,1,147.48,44.51
112,1173,372,0,1,302.64,11.12
113,460,215,1,0,180.54,8.71
114,1215,83,0,1,273.7,41.61
115,868,294,1,2,181.49,16.84
116,1297,15,2,3,678.98,35.52
117,261,186,0,0,664.0,26.97
118,787,296,0,1,376.44,27.99
119,110,148,0,0,111.61,33.9
120,236,270,0,0,343.87,7.53
121,664,313,2,0,1446.08,81.22
122,1119,264,1,0,248.86,50.84
123,525,215,1,0,218.82,32.88
124,320,406,1,3,1329.18,49.61
125,83,185,0,2,665.32,4.98
126,456,67,1,1,962.28,62.32
127,186,142,0,0,146.51,1.22
128,480,117,0,0,196.57,29.01
129,320,406,0,0,819.78,13.41
130,1343,7,0,1,383.93,9.31
131,929,332,0,0,336.19,13.23
132,1287,213,1,2,312.42,29.92
133,569,106,0,3,441.46,0.61
134,460,215,1,3,306.5,19.23
135,101,334,1,1,594.21,32.54
136,696,213,0,2,116.35,6.54
137,464,242,2,1,417.68,25.86
138,205,31,1,0,439.21,75.14
139,547,213,0,0,182.05,42.68
140,665,113,2,1,1428.09,29.14
141,362,146,0,1,315.87,47.57
142,610,189,0,0,282.55,58.35
143,1024,224,1,2,411.53,25.24
144,593,144,0,3,186.16,33.43
145,640,267,2,0,739.72,51.36
146,1046,332,0,1,300.9,24.11
147,1087,368,2,2,423.09,17.72
148,835,158,2,3,1736.41,16.76
149,109,303,0,1,168.78,47.64
150,981,393,1,0,902.55,28.84
151,815,167,0,1,609.65,17.17
152,294,333,0,0,202.68,79.35
153,471,331,2,1,377.56,39.87
154,269,420,0,2,144.82,48.96
155,856,227,1,2,513.02,59.57
156,557,227,0,2,303.0,46.47
157,798,414,0,2,166.33,35.01
158,225,257,0,2,111.14,20.81
159,678,322,2,3,849.28,54.53
160,820,69,1,2,1295.25,30.12
161,465,91,1,0,570.74,41.0
162,866,83,0,0,408.4,41.56
163,817,171,0,2,392.25,26.34
164,179,31,0,0,240.92,50.08
165,971,184,0,0,114.55,22.11
166,1255,29,0,3,725.11,5.18
167,265,203,0,2,322.76,60.21
168,590,367,2,0,343.33,49.11
