id,ticket_id,passenger_id,bag_count,bag_weight,is_priority,oversize_flag,fragile_flag
1,48,1327,1,15.36,0,0,0
2,1595,1713,5,22.84,0,0,0
3,1857,539,3,25.62,0,0,0
4,903,1367,5,23.92,1,0,0
5,2140,569,4,22.03,0,0,0
6,2189,409,3,23.96,0,0,0
7,571,427,3,16.38,0,0,0
8,528,1640,2,20.57,1,0,0
9,1027,1595,1,16.29,0,0,0
10,1504,747,3,15.79,0,0,0
11,2787,455,2,19.81,0,0,0
12,2415,349,3,19.17,0,0,1
13,675,844,4,21.67,0,0,0
14,804,478,3,28.52,0,1,0
15,1371,1700,2,13.72,0,0,0
16,1383,459,4,18.66,1,0,0
17,2777,1078,2,18.35,0,0,0
18,1135,1782,1,10.55,0,0,0
19,2799,1083,2,16.43,0,0,0
20,374,1746,3,31.46,0,1,0
21,1252,352,4,21.41,0,0,0
22,1012,809,5,30.75,0,1,0
23,468,426,2,18.06,0,0,0
24,1142,1095,3,17.12,0,0,1
25,1456,945,1,15.98,0,0,0
26,2928,1261,4,31.19,0,1,0
27,2976,1394,2,16.02,0,0,1
28,391,490,2,14.46,0,0,0
29,109,66,2,14.31,1,0,1
30,371,471,1,18.43,1,0,0
31,1024,1071,4,27.94,0,0,0
32,621,786,2,14.35,1,0,0
33,2356,1172,2,19.26,0,0,0
34,998,1392,2,21.54,0,0,0
35,977,846,3,19.51,0,0,0
36,898,1087,4,23.32,0,0,1
37,2390,1591,4,22.74,0,0,0
38,2383,1459,3,21.5,0,0,0
39,1230,304,1,19.04,0,0,0
40,2767,992,2,22.09,0,0,0
41,1906,1320,2,19.82,0,0,0
42,973,818,2,20.28,0,0,0
43,1041,1304,4,19.39,0,0,1
44,2429,1513,1,11.13,0,0,0
45,2304,1320,2,19.02,0,0,0
46,2560,792,1,26.58,0,0,1
47,307,759,4,28.91,0,1,1
48,2658,963,4,20.48,1,0,0
49,2875,1717,3,25.34,0,0,0
50,756,112,2,22.05,1,0,1
51,2342,945,1,16.23,0,0,1
52,405,411,2,16.13,0,0,0
53,111,1252,3,16.47,1,0,1
54,2228,363,1,17.02,0,0,0
55,338,1780,3,18.26,1,0,0
56,2285,1700,2,19.76,0,0,1
57,1197,1462,2,21.07,0,0,0
58,477,1205,3,18.69,0,0,1
59,2477,1333,1,14.29,0,0,0
60,1603,1617,4,23.32,0,0,0
61,2693,644,2,16.4,0,0,0
62,2170,1509,2,20.07,0,0,0
63,296,1115,3,23.9,0,0,0
64,1475,1498,3,24.93,0,0,0
65,1912,896,2,19.4,0,0,0
66,2502,420,1,23.32,0,0,0
67,2515,301,5,26.35,0,0,1
68,2546,54,2,16.68,0,0,0
69,468,426,1,15.91,0,0,0
70,419,994,2,19.04,0,0,0
71,2981,44,3,21.98,0,0,0
72,2640,1427,2,14.66,0,0,0
73,1280,152,2,17.04,0,0,0
74,940,1677,3,27.12,0,0,0
75,1425,1569,1,14.77,1,0,0
76,1228,1240,4,23.72,0,0,0
77,1826,685,3,22.47,0,0,0
78,757,712,1,17.85,0,0,0
79,2722,1473,2,21.74,0,0,0
80,2205,1469,4,23.62,1,0,0
81,306,38,3,14.96,0,0,0
82,1676,1068,3,15.0,0,0,0
83,1930,511,2,21.68,0,0,0
84,2036,1680,2,15.83,0,0,0
85,2525,416,1,15.16,0,0,0
86,869,610,1,11.28,0,0,0
87,706,1365,4,21.73,0,0,0
88,2394,1161,1,21.44,0,0,0
89,250,158,1,19.91,1,0,0
90,2493,345,2,17.24,0,0,0
91,2626,438,1,16.41,0,0,0
92,1581,709,1,9.89,1,0,0
93,1254,1565,5,28.48,1,1,0
94,536,527,2,15.95,0,0,0
95,928,1504,2,11.55,0,0,0
96,434,434,2,19.11,0,0,1
97,1946,947,2,17.63,0,0,1
98,2842,1666,2,28.65,0,1,0
99,2312,515,1,10.28,0,0,0
100,2474,1445,2,12.26,1,0,1
101,2750,1640,2,16.13,0,0,0
102,550,1602,2,18.57,0,0,0
103,1233,78,1,16.36,0,0,0
104,2713,974,2,16.83,0,0,0
105,584,151,2,18.14,1,0,1
106,1305,299,2,18.42,0,0,0
107,228,395,2,15.5,0,0,1
108,1200,1149,1,15.2,0,0,0
109,2531,622,2,17.34,0,0,0
110,1147,965,1,16.38,0,0,0
111,58,449,1,18.15,0,0,0
112,1082,1517,3,22.1,0,0,0
113,1766,700,1,13.71,0,0,0
114,979,1421,4,22.49,0,0,1
115,1421,932,3,21.37,0,0,0
116,456,580,2,14.68,0,0,1
117,2890,1078,1,27.04,0,0,0
118,1702,1108,1,15.32,0,0,0
119,710,959,4,21.35,0,0,1
120,823,911,1,15.33,0,0,0
121,2090,724,2,18.28,0,0,0
122,375,1151,2,16.62,0,0,0
123,377,922,3,23.24,0,0,0
124,164,457,2,21.18,0,0,0
125,2479,1087,4,22.41,1,0,0
126,2867,1009,2,17.32,0,0,0
127,328,1030,2,17.62,0,0,0
128,2242,100,1,15.33,0,0,0
129,1760,1093,2,16.44,0,0,0
130,2097,1307,3,20.54,0,0,1
131,619,1396,3,14.73,0,0,0
132,998,1392,2,14.19,0,0,0
133,1058,454,1,15.31,0,0,0
134,845,364,2,17.38,0,0,1
135,1026,227,1,15.36,0,0,0
136,2579,1321,1,15.68,0,0,1
137,2963,1353,1,15.4,0,0,0
138,1975,1095,3,20.96,0,0,0
139,2502,420,2,24.47,0,0,1
140,1287,553,3,29.89,0,1,0
141,247,9,2,17.11,1,0,0
142,2432,150,3,18.25,0,0,1
143,1995,348,1,14.38,0,0,0
144,1199,1716,1,10.1,0,0,1
145,1771,581,3,20.65,0,0,0
146,1838,57,1,25.19,0,0,0
147,536,527,2,24.64,0,0,1
148,698,818,2,18.83,1,0,0
149,669,1772,2,22.88,0,0,0
150,2975,707,2,28.12,0,1,0
151,1610,324,4,31.72,1,1,0
152,194,344,2,16.74,0,0,0
153,2811,716,5,32.15,0,1,0
154,1667,1153,2,22.32,0,0,0
155,1554,826,5,19.99,0,0,1
156,752,442,3,14.86,0,0,0
157,1203,296,1,18.72,1,0,0
158,367,309,3,21.97,0,0,1
159,2044,312,3,20.01,1,0,1
160,2423,1081,4,23.15,0,0,0
161,1034,1284,2,13.09,0,0,0
162,1727,59,3,20.99,0,0,0
163,1456,945,3,22.75,0,0,0
164,1205,741,4,23.04,1,0,1
165,1607,1274,2,27.6,0,0,0
166,2404,481,4,19.36,0,0,0
167,1551,844,2,17.56,0,0,0
168,1983,1084,1,14.76,0,0,0
169,1509,551,5,28.35,0,1,0
170,2108,171,2,11.96,0,0,0
171,830,1575,3,18.0,0,0,0
172,615,4,4,20.99,0,0,1
173,2414,1520,2,18.15,0,0,0
174,2714,400,2,19.77,0,0,1
175,2710,212,1,14.52,0,0,1
176,191,891,2,18.85,0,0,0
177,2635,1738,4,18.11,1,0,0
178,1059,1569,4,25.88,0,0,0
179,1433,1563,3,22.48,0,0,0
180,1833,974,2,17.26,0,0,0
181,2484,996,4,23.34,0,0,0
182,731,1037,1,20.74,0,0,0
183,675,844,3,19.08,0,0,0
184,1289,267,3,17.6,1,0,0
185,814,1001,2,19.86,0,0,0
186,445,745,1,13.4,1,0,1
187,2463,517,3,24.28,0,0,0
188,2045,805,4,24.38,0,0,0
189,1241,855,3,16.17,0,0,0
190,1413,613,2,16.29,1,0,0
191,1887,1681,3,22.52,0,0,0
192,2172,1099,3,25.89,1,0,0
193,302,757,1,10.7,0,0,0
194,787,211,1,15.18,0,0,0
195,690,1649,1,17.1,0,0,1
196,376,1788,1,11.09,0,0,1
197,1751,1469,5,26.12,0,0,0
198,2424,751,4,25.86,1,0,0
199,631,691,2,13.17,0,0,0
200,1417,628,1,10.77,0,0,0
201,311,762,4,24.94,0,0,0
202,464,1703,2,18.44,0,0,0
203,1741,994,1,17.27,0,0,0
204,153,1390,3,21.28,0,0,0
205,2665,62,2,21.94,0,0,0
206,2827,749,2,20.38,1,0,0
207,1950,83,3,20.55,0,0,0
208,2419,1618,2,19.34,1,0,0
209,74,660,2,18.99,0,0,0
210,933,377,2,17.31,0,0,0
211,1320,1347,4,24.49,0,0,1
212,943,430,3,18.92,0,0,1
213,2642,1422,1,14.82,0,0,1
214,1920,1035,1,16.1,1,0,0
215,905,1466,2,15.55,0,0,0
216,908,617,1,18.93,1,0,0
217,83,1602,2,17.17,0,0,1
218,2024,1456,5,28.92,1,1,0
219,808,1507,4,23.6,0,0,0
220,2760,1395,1,11.79,0,0,0
221,1091,1038,3,27.81,1,0,1
222,1279,444,1,16.85,0,0,1
223,434,434,1,16.91,0,0,0
224,1482,288,3,20.25,0,0,0
225,2959,1581,2,13.14,0,0,1
226,1954,229,1,12.91,0,0,0
227,2913,775,2,25.76,0,0,0
228,2483,657,2,19.0,0,0,0
229,508,20,1,14.58,0,0,0
230,453,405,2,16.96,0,0,0
231,679,713,2,16.14,0,0,0
232,1075,1212,4,19.39,0,0,1
233,2117,1747,3,17.92,0,0,1
234,2341,352,2,20.84,0,0,0
235,744,1101,4,25.86,0,0,0
236,2990,975,2,14.71,1,0,0
237,1858,343,4,25.09,0,0,1
238,2902,1692,1,20.42,0,0,1
239,442,538,3,22.88,0,0,1
240,940,1677,2,17.2,0,0,0
241,2834,395,4,23.66,0,0,0
242,2596,782,1,18.11,0,0,0
243,1525,162,4,23.47,0,0,1
244,945,1362,2,22.25,0,0,0
245,1048,61,1,11.36,0,0,0
246,2588,1432,2,19.08,0,0,0
247,1577,412,2,15.61,0,0,0
248,1361,203,2,17.79,0,0,0
249,1957,43,1,7.99,1,0,0
250,1840,1062,4,19.07,0,0,1
251,2073,1268,2,14.97,1,0,1
252,446,1478,2,20.14,1,0,0
253,1013,1283,3,23.25,0,0,0
254,361,1111,4,18.53,0,0,0
255,2388,738,1,14.45,0,0,1
256,1039,1107,1,14.15,0,0,0
257,337,734,1,12.15,0,0,0
258,1286,1733,1,13.29,0,0,0
259,252,39,2,16.83,0,0,0
260,1047,468,3,15.04,0,0,0
261,98,1421,3,19.84,0,0,1
262,356,1455,2,14.4,1,0,0
263,1593,1772,1,10.61,1,0,0
264,2513,189,4,21.57,0,0,0
265,2497,1357,1,21.85,0,0,0
266,16,689,1,11.58,0,0,0
267,2135,726,3,14.73,0,0,0
268,889,976,1,26.34,0,0,0
269,1146,1535,1,15.45,1,0,1
270,2507,480,1,10.21,0,0,0
271,2554,1510,4,21.04,0,0,0
272,198,1116,3,22.58,0,0,0
273,691,317,1,14.6,0,0,0
274,2569,222,1,17.88,0,0,0
275,136,1393,1,17.03,0,0,0
276,2014,1212,1,14.76,0,0,0
277,2222,254,2,17.51,0,0,1
278,1297,1077,1,13.99,0,0,0
279,1701,1677,4,22.2,0,0,0
280,2197,1131,1,15.01,1,0,0
281,2196,786,1,16.74,0,0,0
282,195,1606,2,19.93,1,0,0
