id,ticket_id,claim_type,claim_amount,resolved_days,fraud_flag,dispute_flag
1,2572,2,254.38,15,0,0
2,2113,0,200.17,6,0,0
3,458,0,45.96,11,0,0
4,4,0,89.21,14,0,0
5,1374,1,262.97,10,0,0
6,85,0,34.39,5,0,0
7,2978,0,129.09,17,0,0
8,1418,0,178.04,12,0,0
9,700,0,89.43,12,0,0
10,2547,0,590.4,6,1,0
11,2975,0,142.57,1,0,0
12,1143,3,191.32,3,0,0
13,800,3,317.94,8,0,1
14,666,3,200.07,10,0,0
15,353,0,751.85,9,0,0
16,2863,1,29.68,7,0,0
17,9,1,50.01,8,0,0
18,227,1,262.2,8,0,0
19,50,0,1462.94,3,0,0
20,290,4,313.57,8,0,0
21,489,1,499.44,7,0,0
22,276,4,153.63,11,0,0
23,393,3,613.25,1,0,0
24,2920,2,158.03,7,0,0
25,257,2,261.58,8,0,0
26,464,1,574.37,7,0,0
27,1173,1,486.05,14,0,0
28,1111,4,1476.03,14,0,0
29,2872,0,604.4,14,0,0
30,1030,0,105.6,2,0,0
31,2825,1,95.93,11,1,0
32,2878,1,74.96,6,0,0
33,2138,0,191.54,11,0,0
34,2236,2,339.96,7,0,0
35,2001,0,535.54,3,0,0
36,2447,3,94.45,11,0,0
37,512,0,331.03,5,0,0
38,142,0,128.34,9,0,0
39,1931,4,309.11,10,0,1
40,2933,3,25.0,2,0,0
41,407,3,81.04,13,0,0
42,726,0,160.74,12,0,0
43,2601,4,629.41,13,0,0
44,1512,0,713.88,8,0,0
45,2594,2,107.25,7,0,0
46,2371,2,407.88,14,0,0
47,2287,3,441.39,7,0,0
48,2256,0,138.92,7,0,0
49,183,2,443.94,12,0,0
50,570,0,467.94,12,0,0
51,1495,4,1224.59,11,0,0
52,1788,1,25.0,2,0,0
53,504,0,138.07,12,0,0
54,661,4,82.65,13,0,0
55,526,1,226.92,8,0,0
56,2191,2,78.7,8,0,0
57,988,0,185.55,8,0,0
58,2071,0,25.0,8,0,0
59,1615,3,893.08,9,0,0
60,1844,1,227.54,6,0,0
61,2673,3,651.35,11,0,0
