id,origin_airport_id,destination_airport_id,distance,departure_hour,airline_code,congestion,weather_risk,is_delayed
1,1,6,280.2,9,0,0.372,0.05,0
2,5,6,2471.0,17,0,0.271,0.461,0
3,6,2,2437.5,9,0,0.21,0.304,0
4,7,6,324.7,8,1,0.409,0.23,0
5,2,4,2222.9,10,5,0.545,0.182,0
6,3,7,4188.3,19,1,0.186,0.206,0
7,7,10,4025.8,19,6,0.155,0.07,0
8,4,1,288.6,9,7,0.112,0.206,0
9,2,3,217.9,19,2,0.184,0.587,0
10,2,1,247.4,20,0,0.183,0.053,0
11,2,5,1342.9,17,0,0.546,0.122,0
12,4,1,342.8,16,0,0.151,0.191,0
13,3,4,1963.8,8,5,0.485,0.228,1
14,2,1,1055.6,18,3,0.511,0.328,0
15,1,2,3706.3,13,0,0.367,0.039,0
16,6,2,1056.8,10,1,0.378,0.419,0
17,5,2,1232.6,12,4,0.114,0.29,0
18,2,6,359.0,22,0,0.119,0.253,0
19,1,7,1202.8,20,3,0.484,0.235,0
20,3,6,4580.2,17,2,0.421,0.077,0
21,1,2,4296.2,18,2,0.05,0.139,0
22,2,7,4553.8,7,1,0.288,0.145,0
23,2,1,2671.7,13,3,0.115,0.014,0
24,1,2,1260.0,4,5,0.53,0.061,0
25,8,4,4436.5,9,0,0.083,0.576,0
26,1,2,4877.1,11,6,0.069,0.232,0
27,2,6,719.1,9,0,0.182,0.116,0
28,3,6,3727.3,18,0,0.045,0.102,0
29,3,2,1052.6,11,2,0.197,0.306,0
30,6,4,4284.2,20,0,0.435,0.226,0
31,4,1,253.8,6,4,0.17,0.224,0
32,3,6,273.7,6,0,0.586,0.21,0
33,3,2,413.6,6,1,0.132,0.179,0
34,2,7,348.7,9,0,0.254,0.315,0
35,2,1,348.0,8,2,0.457,0.111,1
36,1,4,2552.3,19,1,0.587,0.238,0
37,1,3,1083.4,17,1,0.228,0.338,0
38,4,7,409.9,19,0,0.532,0.306,0
39,4,7,326.3,14,0,0.57,0.088,0
40,7,10,4786.2,6,2,0.372,0.326,0
41,2,3,970.9,20,1,0.436,0.339,0
42,8,6,1254.3,13,0,0.114,0.033,0
43,3,8,305.4,13,0,0.141,0.433,1
44,4,1,274.8,7,2,0.292,0.102,0
45,8,6,312.3,9,2,0.541,0.116,0
46,1,2,2739.1,20,3,0.068,0.281,0
47,4,6,409.0,6,1,0.044,0.421,0
48,2,3,255.5,10,1,0.106,0.092,0
49,1,5,976.2,13,1,0.339,0.212,0
50,5,7,255.0,7,1,0.43,0.553,0
51,7,8,1169.7,6,2,0.054,0.087,0
52,4,7,907.6,20,0,0.192,0.2,0
53,3,2,4322.0,20,2,0.272,0.109,0
54,1,9,1484.3,15,0,0.26,0.106,0
55,4,7,279.3,14,2,0.208,0.562,0
56,5,6,2059.2,18,0,0.364,0.089,0
57,4,5,1034.4,13,3,0.288,0.15,0
58,2,4,332.0,21,1,0.085,0.161,0
59,1,2,1226.9,10,0,0.149,0.449,0
60,1,10,2085.6,10,0,0.229,0.032,1
61,6,2,293.6,8,1,0.308,0.372,0
62,3,2,1953.7,11,3,0.616,0.228,0
63,1,6,267.2,13,2,0.697,0.282,0
64,6,7,3745.5,12,2,0.323,0.128,0
65,1,3,2306.1,21,1,0.112,0.254,0
66,3,2,2696.0,11,0,0.452,0.459,0
67,4,5,385.7,11,0,0.315,0.26,0
68,2,3,2378.5,9,2,0.035,0.03,0
69,1,6,4205.9,21,0,0.168,0.066,0
70,3,6,269.7,9,2,0.203,0.192,0
71,4,2,3876.5,22,2,0.122,0.306,0
72,3,1,339.1,9,7,0.37,0.41,0
73,1,2,1077.5,11,0,0.232,0.207,0
74,5,3,2702.5,18,3,0.21,0.59,0
75,1,4,1221.0,12,5,0.58,0.56,0
76,1,9,322.3,22,3,0.316,0.117,0
77,2,3,1004.1,11,2,0.312,0.073,0
78,2,5,4486.5,17,0,0.052,0.226,0
79,1,2,255.4,5,3,0.604,0.565,0
80,1,10,409.0,13,0,0.135,0.314,0
81,2,8,443.6,12,2,0.546,0.145,0
82,2,7,275.0,10,2,0.015,0.116,0
83,5,4,1259.6,12,2,0.4,0.335,0
84,1,8,279.1,15,2,0.266,0.236,0
85,3,1,1000.9,7,4,0.308,0.203,0
86,1,4,233.5,8,0,0.283,0.079,0
87,1,2,331.0,10,2,0.349,0.356,0
88,1,6,216.8,14,2,0.084,0.016,0
89,5,7,4337.7,13,0,0.217,0.165,0
90,4,2,461.5,14,2,0.266,0.426,0
91,1,8,4514.2,2,0,0.091,0.174,0
92,2,1,2492.7,12,4,0.281,0.346,0
93,3,4,2098.2,16,5,0.23,0.266,1
94,4,6,2739.7,19,0,0.182,0.113,0
95,2,1,253.6,8,3,0.067,0.557,0
96,3,4,290.7,10,1,0.065,0.208,0
97,4,9,373.3,7,1,0.11,0.359,0
98,2,9,2222.9,11,2,0.265,0.212,0
99,2,7,399.4,12,1,0.361,0.62,0
100,5,6,398.3,11,5,0.135,0.076,0
101,6,4,290.2,6,0,0.11,0.336,0
102,2,3,223.1,14,5,0.19,0.2,0
103,1,7,942.0,14,4,0.233,0.042,0
104,2,3,1028.5,6,3,0.028,0.214,0
105,1,2,3756.4,8,0,0.218,0.047,0
106,1,2,1204.6,10,7,0.025,0.064,0
107,6,7,327.7,21,0,0.226,0.186,0
108,1,2,1076.1,9,1,0.571,0.052,1
109,2,6,5017.8,22,0,0.084,0.403,0
110,2,3,1080.5,20,0,0.31,0.753,0
111,2,4,2424.5,17,5,0.245,0.037,0
112,5,3,3766.5,14,4,0.5,0.318,0
113,2,1,1010.6,13,4,0.143,0.057,0
114,1,9,2691.6,8,0,0.171,0.638,0
115,5,8,2318.0,20,5,0.222,0.078,0
116,1,5,3935.0,9,3,0.791,0.215,0
117,3,2,1085.7,8,0,0.267,0.377,0
118,4,1,933.2,12,0,0.261,0.365,0
119,5,1,2622.0,12,3,0.37,0.208,0
120,1,11,1938.3,18,5,0.299,0.081,0
121,5,3,4162.5,7,3,0.143,0.221,0
122,4,6,423.6,11,1,0.222,0.062,1
123,3,4,1333.0,8,6,0.081,0.199,0
124,5,1,1014.7,8,5,0.341,0.17,0
125,5,1,991.8,8,6,0.733,0.495,0
126,2,3,269.3,10,2,0.221,0.442,0
127,5,4,2371.6,8,5,0.349,0.144,0
128,2,8,2239.8,9,5,0.435,0.391,0
129,1,2,227.9,18,5,0.245,0.128,0
130,1,2,377.2,11,4,0.318,0.09,0
131,3,2,3903.4,10,6,0.183,0.155,0
132,1,4,1174.3,12,6,0.081,0.341,0
133,1,6,1333.0,21,1,0.118,0.704,1
134,5,1,2386.1,9,3,0.14,0.234,0
135,5,6,4563.5,14,0,0.364,0.288,0
136,4,8,943.5,7,3,0.162,0.169,0
137,5,4,296.9,5,1,0.481,0.492,0
138,3,2,4324.9,20,2,0.017,0.043,0
139,8,2,380.9,9,1,0.233,0.21,0
140,1,9,246.9,21,6,0.319,0.044,0
141,2,1,418.9,7,0,0.074,0.525,0
142,2,10,4192.7,20,0,0.274,0.161,0
143,4,5,2616.6,8,0,0.034,0.686,0
144,3,4,229.8,11,7,0.127,0.106,0
145,2,11,1188.1,10,0,0.025,0.393,0
146,8,9,3736.6,13,2,0.117,0.256,0
147,5,3,320.1,14,4,0.387,0.069,0
148,2,3,226.3,6,1,0.403,0.048,0
149,6,3,1012.2,11,0,0.31,0.496,0
150,1,7,361.6,17,2,0.352,0.268,0
151,4,6,427.6,7,0,0.159,0.79,0
152,4,1,197.5,18,1,0.152,0.057,0
153,1,2,2482.5,2,1,0.099,0.479,0
154,5,1,218.8,6,2,0.141,0.74,0
155,7,4,983.7,5,1,0.086,0.373,0
156,7,1,380.0,13,1,0.248,0.085,0
157,2,8,355.6,23,3,0.217,0.318,0
158,4,5,2142.7,8,6,0.193,0.115,0
159,1,3,2339.7,10,0,0.191,0.27,0
160,1,4,4177.6,18,1,0.272,0.266,0
161,1,8,376.5,11,3,0.076,0.276,0
162,4,5,4240.9,10,1,0.35,0.263,0
163,3,10,319.4,10,2,0.502,0.018,0
164,3,1,988.8,20,0,0.095,0.25,0
165,2,3,325.9,11,6,0.195,0.161,0
166,4,1,2232.0,15,0,0.058,0.25,0
167,1,2,3873.3,13,3,0.153,0.325,0
168,1,5,3671.1,9,0,0.258,0.096,0
169,5,6,307.4,6,1,0.1,0.265,0
170,3,2,1054.2,11,1,0.189,0.012,0
171,5,1,2325.6,7,2,0.149,0.049,0
172,3,4,389.1,20,2,0.299,0.121,0
173,1,10,446.8,18,6,0.533,0.061,0
174,2,3,187.1,3,0,0.246,0.525,1
