id,flight_id,age,annual_income,family_size,booking_lead_days,loyalty_tier,travel_risk,frequent_flyer
1,263,18,49062.0,1,2,0,0.152,0
2,718,51,97500.0,3,10,3,0.06,1
3,322,19,35005.0,1,8,1,0.207,0
4,308,30,32172.0,3,3,0,0.25,0
5,331,56,50426.0,2,10,3,0.13,0
6,285,18,18992.0,1,9,2,0.187,1
7,618,37,42461.0,1,11,0,0.098,0
8,558,23,83292.0,1,1,0,0.407,1
9,231,48,90265.0,1,10,0,0.168,0
10,379,23,64516.0,1,11,0,0.084,1
11,25,61,66306.0,1,12,0,0.169,0
12,153,28,347760.0,3,31,2,0.127,1
13,165,61,42409.0,2,30,2,0.156,1
14,711,31,70583.0,1,1,2,0.175,1
15,650,39,12000.0,3,10,0,0.097,1
16,414,53,13290.0,3,44,1,0.173,0
17,607,37,17204.0,2,14,2,0.089,1
18,608,21,110408.0,2,20,1,0.291,0
19,578,37,36225.0,1,19,1,0.063,0
20,466,18,33257.0,2,12,0,0.217,1
21,146,18,111740.0,5,7,0,0.207,0
22,54,39,12000.0,1,16,2,0.081,1
23,343,27,45865.0,1,9,3,0.056,0
24,397,57,38791.0,4,26,0,0.123,1
25,166,21,58329.0,2,24,1,0.109,0
26,16,37,79947.0,2,14,3,0.142,1
27,657,41,20005.0,3,30,2,0.185,1
28,247,35,47007.0,3,15,0,0.16,1
29,605,37,176485.0,1,6,1,0.206,1
30,673,26,28250.0,2,22,4,0.127,1
31,684,43,43194.0,2,17,1,0.209,0
32,522,32,65956.0,3,52,1,0.221,1
33,229,18,27256.0,1,26,0,0.058,0
34,565,39,150015.0,1,18,4,0.093,1
35,625,27,47867.0,1,17,1,0.084,1
36,682,27,25296.0,1,13,1,0.162,1
37,40,19,34600.0,5,5,2,0.077,1
38,95,49,43189.0,1,18,0,0.158,1
39,645,28,73928.0,1,5,0,0.076,1
40,503,47,29394.0,1,32,0,0.323,1
41,587,18,66474.0,1,21,0,0.169,0
42,697,34,33725.0,1,14,0,0.069,0
43,529,19,31996.0,1,10,2,0.23,0
44,24,18,21217.0,1,32,2,0.137,1
45,373,24,67524.0,2,5,4,0.198,1
46,419,28,170991.0,1,8,1,0.069,0
47,355,45,14938.0,2,13,3,0.074,1
48,232,47,12000.0,1,11,0,0.125,0
49,77,52,32262.0,1,3,0,0.209,0
50,338,41,22715.0,1,20,0,0.217,0
51,10,53,12000.0,3,18,0,0.114,0
52,317,55,36220.0,4,37,0,0.159,1
53,60,57,33330.0,3,3,0,0.212,0
54,392,49,60912.0,2,28,0,0.1,0
55,213,53,48885.0,3,2,1,0.219,1
56,459,59,48659.0,1,24,4,0.135,0
57,118,46,47756.0,1,18,2,0.099,1
58,135,67,46076.0,2,15,1,0.304,1
59,617,38,23270.0,2,6,1,0.414,0
60,56,22,163780.0,4,20,2,0.158,1
61,541,46,34307.0,1,9,0,0.137,0
62,583,36,179410.0,3,7,2,0.089,1
63,482,40,24555.0,1,21,2,0.132,0
64,155,39,45546.0,1,24,0,0.238,0
65,475,35,79807.0,2,19,2,0.103,1
66,647,31,12000.0,3,3,0,0.085,0
67,687,25,12000.0,4,15,0,0.196,1
68,374,18,58682.0,4,9,1,0.08,0
69,93,34,58811.0,1,18,0,0.245,0
70,386,44,46966.0,1,13,4,0.323,1
71,91,49,28492.0,3,21,0,0.194,0
72,441,37,70126.0,2,11,3,0.18,0
73,319,41,137012.0,2,25,4,0.06,1
74,623,18,12000.0,4,32,1,0.162,1
75,450,54,81654.0,2,20,2,0.261,0
76,559,47,88014.0,1,5,2,0.321,1
77,107,57,40908.0,1,11,0,0.24,0
78,573,21,166545.0,1,11,1,0.191,1
79,615,37,107066.0,1,7,2,0.125,1
80,386,32,46195.0,1,6,2,0.21,0
81,230,27,54591.0,2,17,4,0.147,1
82,129,33,71299.0,1,12,2,0.096,1
83,109,34,23734.0,5,26,3,0.142,1
84,260,44,48188.0,1,0,1,0.244,1
85,115,44,79576.0,5,20,0,0.257,1
86,268,31,42557.0,3,4,0,0.181,1
87,648,37,52743.0,5,15,0,0.173,0
88,388,18,84380.0,1,11,0,0.308,0
89,416,46,12527.0,2,16,1,0.123,1
