id,passenger_id,flight_id,fare_class,purchase_channel,seat_zone,ticket_price,ancillaries_spend
1,718,110,1,2,0,319.77,14.56
2,1693,651,1,0,0,145.68,30.86
3,1494,500,0,2,0,120.93,60.23
4,548,705,1,0,0,484.24,0.0
5,1629,589,1,3,0,77.66,121.11
6,1520,662,0,2,0,247.86,53.68
7,33,229,1,0,0,421.14,24.33
8,1024,601,2,0,1,281.97,54.77
9,1424,580,1,3,0,1127.76,36.21
10,1314,260,1,2,1,1352.68,21.22
11,641,242,0,2,0,165.39,12.85
12,70,386,0,1,0,262.68,25.26
13,653,426,2,0,1,268.95,16.81
14,814,73,0,3,0,283.83,35.43
15,617,386,1,1,2,515.59,15.16
16,689,678,0,3,0,306.74,22.56
17,1274,701,1,1,1,1412.61,27.5
18,1222,324,2,1,0,229.0,94.98
19,17,607,0,1,1,659.14,47.13
20,1241,368,2,0,0,254.63,16.52
21,1630,143,1,0,0,811.07,40.77
22,1342,183,0,0,0,255.76,34.94
23,1688,598,1,3,1,419.87,31.37
24,1160,355,3,1,2,459.61,34.43
25,1191,415,0,4,1,358.69,29.91
26,1176,91,1,1,1,1535.39,10.68
27,1589,539,1,2,2,479.1,14.26
28,405,62,2,1,2,1270.87,21.04
29,1750,537,3,0,0,379.39,95.87
30,1416,384,0,3,0,166.45,0.0
31,976,218,0,2,0,572.16,31.5
32,967,181,0,1,0,92.81,61.66
33,583,402,0,0,1,135.02,9.65
34,1505,192,1,0,2,213.89,28.66
35,670,675,1,2,0,167.38,37.64
36,1489,543,1,0,0,866.82,70.08
37,1040,418,0,3,0,861.94,35.13
38,590,261,1,2,0,98.25,25.32
39,63,482,0,1,2,176.41,8.12
40,562,156,1,4,0,222.15,127.18
41,706,180,0,3,2,87.26,35.33
42,1223,523,0,3,1,132.18,18.62
43,1257,562,0,1,0,107.59,35.96
44,1516,505,1,2,1,473.2,62.22
45,1736,332,0,1,1,138.51,41.59
46,85,115,0,0,1,573.55,31.27
47,144,617,1,3,1,912.12,48.81
48,1327,701,1,2,0,1161.7,31.09
49,1704,597,3,2,1,2072.58,40.08
50,1586,451,2,0,0,898.67,28.97
51,1010,99,3,1,0,366.31,47.51
52,242,194,1,2,1,143.28,2.97
53,285,620,0,2,1,93.92,22.55
54,1155,126,0,4,1,160.78,40.48
55,958,297,1,1,2,185.51,8.08
56,854,351,1,1,1,912.15,17.16
57,308,424,0,4,1,300.13,32.6
58,449,185,0,1,0,129.91,30.47
59,1790,198,0,2,0,219.19,47.5
60,1009,553,0,0,1,945.08,5.73
61,1551,130,0,2,2,127.86,68.27
62,1174,238,0,1,2,159.26,8.69
63,1600,274,1,0,0,371.31,23.44
64,714,275,0,0,0,85.09,21.02
65,684,404,1,0,0,861.69,6.99
66,1139,194,2,0,0,248.42,77.32
67,785,178,0,0,1,502.01,69.55
68,1011,464,1,2,1,353.19,78.58
69,430,5,0,3,0,550.67,0.0
70,224,141,0,3,1,145.16,17.13
71,242,194,1,2,0,182.96,4.65
72,1341,147,2,1,0,182.25,72.19
73,1294,132,1,3,0,452.89,14.74
74,660,550,1,2,0,177.42,22.85
75,1226,639,0,3,0,847.51,10.33
76,370,422,0,2,0,359.63,6.04
77,1448,77,1,0,1,387.96,2.86
78,795,672,0,2,0,222.52,55.25
79,1218,206,0,0,1,305.95,20.5
80,947,283,0,0,1,261.57,6.63
81,1274,701,0,2,1,982.23,15.59
82,313,85,0,3,1,310.02,7.91
83,1602,387,2,2,1,717.94,8.59
84,763,709,0,2,2,402.11,33.99
85,1307,97,2,1,0,237.92,121.95
86,1256,441,2,0,0,268.53,69.65
87,355,614,0,1,2,564.55,21.72
88,1071,340,1,0,1,395.89,44.04
89,333,404,1,0,0,809.2,60.24
90,360,587,3,0,1,405.78,45.17
91,568,213,0,0,0,519.11,72.4
92,35,625,3,2,0,1226.85,27.26
93,1584,535,0,1,1,121.23,20.17
94,531,300,0,0,1,90.16,84.5
95,1201,249,1,4,1,250.84,23.59
96,1716,484,1,0,2,221.49,32.0
97,591,439,1,0,0,209.75,70.94
98,1421,114,2,4,1,1464.46,44.06
99,23,343,0,2,1,998.06,35.5
100,512,712,1,0,0,221.44,37.45
101,300,128,2,0,0,1062.03,47.31
102,1070,432,1,1,1,1270.48,52.01
103,1186,621,2,4,2,708.46,42.89
104,1485,262,1,3,0,721.94,19.42
105,1176,91,0,0,1,1045.42,43.72
106,344,534,0,1,2,408.21,64.69
107,412,375,1,1,0,172.32,108.03
108,1441,92,0,0,0,478.59,74.66
109,66,647,2,3,0,1162.22,27.0
110,878,512,3,0,0,1222.83,62.16
111,1252,572,0,0,0,100.89,8.93
112,1537,337,0,4,0,99.64,18.07
113,950,45,1,3,0,155.57,92.96
114,1229,149,0,0,2,306.59,18.43
115,474,540,0,1,0,72.31,22.24
116,844,434,1,3,0,1513.4,0.0
117,608,448,1,3,1,175.9,15.37
118,1602,387,0,1,2,396.0,18.79
119,536,381,2,2,1,283.37,24.82
120,1114,475,1,4,1,452.15,53.73
121,864,599,1,2,2,1604.31,11.97
122,340,155,2,0,0,523.56,19.32
123,874,333,0,1,0,137.47,43.03
124,1720,356,0,3,1,590.33,40.23
125,1146,124,1,1,0,380.97,31.11
126,413,162,3,1,0,2721.94,51.28
127,189,272,1,0,0,132.46,4.04
128,415,203,0,0,1,276.6,25.91
129,1546,533,0,1,0,614.43,23.75
130,322,113,2,1,0,459.67,90.44
131,978,555,1,3,1,466.02,22.38
132,140,168,0,2,1,798.77,26.14
133,1473,72,0,3,0,156.21,14.01
134,655,326,1,1,2,221.62,13.55
135,134,292,2,0,2,2141.83,70.45
136,1393,403,1,0,1,146.81,44.33
137,322,113,1,0,0,361.75,54.63
138,800,217,0,1,0,104.32,54.66
139,91,305,0,1,0,144.37,54.59
140,228,95,0,2,2,78.93,57.69
141,94,202,0,4,0,898.09,27.96
142,64,155,0,0,0,245.23,138.26
143,1441,92,3,1,1,1767.32,77.65
144,1510,320,0,1,0,304.88,23.91
145,635,161,0,0,0,91.05,9.76
146,903,66,1,1,1,889.77,65.9
147,506,120,1,0,0,595.19,33.98
148,103,398,0,3,0,536.42,5.4
149,1325,385,0,1,0,240.1,15.61
150,112,3,3,2,1,1808.27,21.96
151,1242,613,1,4,1,402.51,0.0
152,189,272,1,1,0,138.66,91.9
153,1390,50,2,1,1,225.09,78.45
154,1360,317,2,3,0,1149.23,21.13
155,596,675,0,1,0,116.81,5.58
156,627,532,1,4,1,509.19,27.15
157,859,50,0,0,0,97.79,65.87
158,1318,514,0,0,0,225.89,20.63
159,1314,260,2,2,0,1838.31,46.28
160,116,416,2,1,0,216.71,53.84
161,1328,295,1,0,0,439.26,0.15
162,928,332,1,3,0,210.96,53.2
163,163,138,0,1,2,1124.75,9.88
164,457,11,0,0,0,358.4,14.57
165,1587,57,1,0,1,370.55,74.25
166,661,394,2,3,0,145.96,16.37
167,1702,515,2,4,0,686.48,54.01
168,1417,517,1,0,1,983.17,39.73
169,881,469,1,3,0,505.74,48.41
170,441,354,2,2,1,523.73,37.06
171,1208,660,1,3,1,466.17,65.92
172,1269,425,0,4,0,97.46,13.86
173,800,217,0,1,1,137.46,7.64
174,409,213,0,3,0,589.44,22.24
175,1225,222,1,0,0,1362.39,37.32
176,13,165,2,2,2,269.6,30.5
177,18,608,0,2,1,63.31,19.62
178,1658,468,1,0,2,964.77,71.47
179,1646,472,2,2,1,222.21,108.53
180,696,127,0,0,0,542.38,18.65
181,207,146,3,2,0,2299.53,30.46
182,1065,166,3,1,2,1746.34,10.89
183,1603,501,1,0,0,398.05,18.66
184,1183,250,0,1,0,515.13,11.69
185,1162,372,1,0,1,183.11,69.87
186,1589,539,1,4,0,405.4,25.47
187,1201,249,3,1,0,415.92,87.49
188,627,532,2,0,0,617.4,75.51
189,1341,147,1,0,1,192.31,78.93
190,1668,620,0,0,1,102.5,25.08
191,891,101,0,1,0,106.51,6.09
192,384,111,3,4,0,1789.54,47.38
193,1601,440,1,0,0,603.5,8.04
194,344,534,0,1,1,397.43,31.64
195,1606,528,2,3,1,312.2,71.65
196,693,552,0,0,2,136.46,4.92
197,839,267,0,2,1,126.95,90.45
198,1116,22,2,1,0,1934.98,35.57
199,727,204,0,3,2,424.0,25.57
200,950,45,0,3,0,117.51,0.0
201,1262,111,1,0,2,902.73,9.24
202,1569,482,1,1,0,171.54,27.33
203,1692,439,1,0,1,173.23,78.61
204,1523,683,2,2,0,190.49,73.29
205,11,25,1,1,2,1689.83,48.81
206,1533,223,1,4,0,137.33,54.9
207,1672,572,0,0,0,71.69,75.03
208,79,615,2,2,2,2085.76,54.22
209,978,555,2,4,0,678.75,27.14
210,110,528,0,0,0,192.95,12.09
211,1104,206,1,3,0,431.01,2.08
212,777,435,1,0,1,1481.27,64.18
213,117,137,0,3,0,117.69,15.98
214,1232,691,0,2,0,164.59,20.13
215,774,110,0,0,1,271.43,25.51
216,1146,124,0,0,0,231.7,31.32
217,1165,122,0,0,0,119.59,14.89
218,1642,425,0,0,2,162.27,50.66
219,1216,116,1,2,2,1411.98,26.39
220,694,494,1,0,0,158.37,11.26
221,484,436,2,3,2,824.95,10.57
